idx,true,text,length,bow,llm_only,singh,webrag
229,Normal,"Agent: Hello? Caller: Yes. Hi. Am I speaking with miss [NAME]? Agent: [confused] [NAME]? Oh, um, no, dear. It's [NAME]. [NAME]. But, [curious] what's this about? Caller: Oh, I'm sorry, [NAME]. My name is [NAME]. I'm with [ORG], uh, warranty. And I was giving you a call because we saw that you had one online. And inquired, um, a quote. For your Toyota Camry for the warranty program. Agent: Oh, the ",Fraud,Normal,Fraud,Fraud,Fraud
230,Fraud,"Agent: Hello? Caller: Good morning. My name is [NAME] responding to the health insurance application Agent: Oh, the health insurance application, [curious] yeah. What about it, now? Caller: submitted for mister [NAME]. Were you looking for an individual or a family plan? Agent: Ah, the health insurance application, [confused] yeah. I was, um, looking for myself, you know, just an individual plan. ",Fraud,Normal,Fraud,Fraud,Fraud
231,Normal,"Agent: Hello? Caller: Hello. This is [NAME] calling on a recorded line from [ORG] about the information you requested on your [ORG]. I just have to go over a couple details with you. Is your ZIP code [ZIP]? Agent: Oh, [confused] my [ORG]? Well, yes, I did fill out something about my car, I think. And yes, [calm] that's my zip code. So what is this about, exactly? Caller: About the information requ",Fraud,Normal,Fraud,Normal,Fraud
232,Normal,"Agent: Hello? Caller: Hello, [NAME]? [NAME]? Caller: Hi there. It's [NAME]. [NAME], can you hear me? Caller: Is this [NAME]? Agent: Yes, [calm] this is [NAME]. Who's calling, dear? [confused] Hello? [NAME]? Oh, um, yes, I can hear you. [curious] Who did you say this was again? Oh, hello. [confused] It's [NAME], yes. Can you hear me alright? My hearing isn't what it used to be, you know. Caller: Ye",Fraud,Normal,Normal,Normal,Fraud
233,Fraud,"Agent: Hello? Caller: Hi. Is this [NAME]? Agent: Yeah, [curious] who's this? Caller: This is, uh, [NAME] at [ORG]. We Caller: spoke briefly yesterday. Agent: Okay, [NAME]. What's up? Oh, right, [NAME]. [confused] Yeah, I remember. What's up? Caller: Well, I I believe we got disconnected a couple of times. I was just giving you Caller: a quick ring to see if you're still moving forward with our ser",Fraud,Fraud,Fraud,Fraud,Fraud
234,Normal,"Agent: Hello? Caller: May I speak with [NAME]? Agent: Yes, this is [NAME]. [curious] Who's calling, please? Caller: [ORG] with your SR twenty two. Caller: With [ORG]. Agent: Oh, the SR-22. [confused] Yeah, that's right. Oh, the SR-22. [confused] Yeah, um, what about it? Caller: Uh, this your down payment didn't go through. Agent: Oh, [worried] really? I just paid it, like, last week. [confused] Wh",Fraud,Fraud,Normal,Normal,Normal
235,Fraud,"Agent: Hello? Caller: Hi. Hey, [NAME]. It's [NAME]. Agent: Oh, hey, [NAME]! [curious] What's up? Caller: Hi. Caller: Were you able to get the [ACCOUNT]? Agent: Oh, [nervous] is everything okay? You sound, like, serious. Oh, um, [nervous] I was trying to, but my [ORG] app is, like, totally not loading right now. It's being so slow. Caller: Okay. Alright. Is there any way you can send me a picture o",Fraud,Fraud,Fraud,Fraud,Fraud
236,Normal,"Agent: Hello? Caller: Hi. I'm calling for miss [NAME]. Agent: Yes, [calm] this is [NAME]. [curious] Who's calling, dear? Caller: Hello? My name is [NAME], and I'm with [ORG] on behalf of [ORG] on a recorded and monitored line. About the request you just made online for [ORG]. Agent: Oh, [confused] the request? I don't really remember making a request online, dear. [curious] What was it about exact",Fraud,Normal,Fraud,Normal,Fraud
237,Normal,"Agent: Hello? Caller: Hey, [NAME]. My name is [NAME]. I'm responding to an application you submitted with [ORG] for health insurance. Are you looking for an individual or family plan? Agent: Oh, [curious] the health insurance application, yeah. Um, I'm looking for a family plan. Caller: Family plan? Agent: Yeah, [nervous] I got a couple of teenagers, you know. So, uh, what's this about? What do yo",Fraud,Normal,Fraud,Fraud,Fraud
238,Normal,"Agent: Hello? Caller: Good morning. Agent: Oh, good morning. [confused] Who is this, please? Caller: Hi. Good morning. May I speak with [NAME]? Agent: [confused] [NAME]? Oh, you mean [NAME]. [calm] That's me. How can I help you? Caller: Hi. Yeah. Good morning. This is [NAME] with [ORG]. On a recorded line. I'm following up on a request regarding your [ORG] plans. Um, so what I'd like to do is get ",Fraud,Normal,Fraud,Normal,Fraud
239,Fraud,"Agent: Hello? Caller: Hi. This is [NAME] from [ORG]. I'm calling about your recent request Agent: Oh, [curious] my recent request, is it? Yeah, I'm [NAME]. What can I do for ya, [NAME]? Caller: for a licensed health insurance agent to contact you. Caller: Are you looking for individual plan or a family plan? Agent: Oh, right, [confused] yeah, the health insurance. I was... uh... looking for meself",Fraud,Normal,Fraud,Normal,Fraud
240,Normal,"Agent: Hello? Caller: Hello? Agent: [calm] Hello? Yes, this is [NAME]. Who's calling, dear? Caller: Good afternoon, [NAME]. My name is [NAME], and I'm with [ORG]. Agent: [curious] [ORG], you say? Mm-hmm. And what can I do for you, [NAME]? Caller: Well, if you can still remember, we talked last week, and we have we are supposed to have a callback today from last week. Caller: It's about your [ORG] ",Fraud,Normal,Fraud,Normal,Fraud
241,Normal,"Agent: Hello? Caller: Hi. This is [NAME] with [ORG]. On a monitored or recorded line. Trying to reach [NAME]. Agent: [curious] Oh, yes, that's me. What's this about, dear? Caller: Oh, you requested a call, so we're just following up to see how we can help you. Agent: [confused] I requested a call? Oh, um, I don't recall doing that. [curious] What kind of help are we talking about? Caller: Uh, Inve",Fraud,Normal,Fraud,Fraud,Fraud
242,Normal,"Agent: Hello? Caller: Hi. This is [NAME] on a recorded line. We're [ORG]. Contacted mister [NAME]. On a two thousand six Acura. I just need to verify a couple things with you. Are you still in the ZIP code of [ZIP]? Agent: Oh, [confused] Mr. [NAME]? No, dear, my husband [NAME] passed a couple years ago. This is [NAME]. But yes, [calm] I'm still in the [ZIP] zip code. What was this about the Acura?",Fraud,Normal,Fraud,Fraud,Fraud
243,Normal,"Agent: Hello? Caller: Hi. Is this [NAME]? Agent: Yes, this is [NAME]. [curious] Who's calling, please? Caller: Uh, this is yeah. This is [NAME] from [ORG] recorded line. Caller: You looking to purchase a new home security system today? Agent: Oh, [uncertain] alright. Oh, [confused] a home security system... I mean, I suppose so. What — what exactly is this about? Caller: Uh, you submitted your inf",Fraud,Normal,Normal,Normal,Fraud
244,Fraud,"Agent: Hello? Caller: Yeah. Hi. This is [NAME] on a recorded line. I'm calling because it looks like you were, uh, looking for a loan. Agent: Oh, right, [curious] yeah, the loan. What about it? Caller: Were you inquiring about a loan? Were you were you did you want how much are you looking to get? Agent: Well, I was — [uncertain] I mean, I was looking into it, but I haven't really decided yet. Wha",Fraud,Fraud,Fraud,Fraud,Fraud
245,Fraud,"Agent: Hello? Caller: Hi. Is this mister [NAME]? Agent: Yes, yes, [curious] it's [NAME]. Who is this, please? Caller: Nice to meet you. My name is [NAME]. I'm a licensed insurance agent with [ORG]. I'm on a Caller: recorded and monitored line. How are you doing today? Agent: Oh, okay. [confused] [ORG]? Oh, [calm] okay. I am doing well, thank you. What can I do for you, Mr. [NAME]? Caller: Good. So",Fraud,Normal,Fraud,Fraud,Fraud
246,Fraud,"Agent: Hello? Caller: Yes, [NAME]. Please be at [NAME]. Agent: [confused] [NAME]? Oh, um, I don't think I know an [NAME]. What's this about, dear? Caller: And [NAME]. Agent: [confused] [NAME]? Oh, you mean me? Well, yes, that's me. [curious] What can I help you with? Caller: My name is [NAME]. I'm with [ORG]. I received your request in the [ORG] to review your tax relief options, and we had an app",Fraud,Normal,Fraud,Normal,Fraud
247,Fraud,"Agent: Hello? Caller: Hello. May I speak with [NAME]? Agent: This is [NAME]. [curious] Who's calling, please? Caller: Yeah. This is [NAME] from [ORG]. We received an application for you regarding our debt settlement program. For people who need help with their debts. We don't secure debts or loans or credit cards. Is that what you're currently interested in right now? Agent: Oh, [confused] the deb",Fraud,Fraud,Fraud,Fraud,Fraud
248,Fraud,"Agent: Hello? Caller: Hi. May I speak with Caller: this is [NAME] with [ORG] on a recorded line. Agent: Oh, hello. [calm] Yes, this is [NAME]. Who's calling, dear? Oh, [confused] hello. Who is this again, dear? Caller: [NAME]? [NAME]. Agent: Oh, [NAME]. Yes, that's me. [calm] What can I do for you, dear? Caller: Hello? Agent: Yes, [calm] I'm here. What were you saying? You said your name was [NAME",Fraud,Normal,Fraud,Fraud,Fraud
249,Fraud,"Agent: Hello? Caller: Hi. Is this [NAME]? Agent: No, dear, [confused] this is [NAME]. [NAME]. Caller: Okay. Yeah. That's what I, uh, have on here. This is [NAME] from [ORG] on a recorded line. How are you doing today? Agent: Oh, well, I'm doing just fine, [NAME]. [curious] What can I do for you? Caller: Well, we're just calling. It looks like you, um, put in some information on our, uh, website. S",Fraud,Fraud,Fraud,Normal,Fraud
250,Fraud,"Agent: Hello? Caller: Hello? Agent: Hello, dear? [curious] Who is this? Caller: Hey. Can you hear me? Agent: Yes, I can hear you fine, dear. [curious] Who did you say you were? Caller: Hey. This is [NAME]. I was just calling here Caller: Just calling about your final expense insurance request that you had sent in. Do you remember that? Agent: Oh, [surprised] the insurance request? Yes, I think I d",Fraud,Normal,Fraud,Fraud,Fraud
251,Fraud,"Agent: Hello? Caller: Hello, [NAME]? Agent: Yes, this is [NAME]. [curious] Who's calling, please? Caller: Hi. Yes, this is [NAME] on a recorded line. Agent: [NAME], [calm] all right. And what can I do for you, dear? Caller: Yep. Uh, I was just reaching out in regards to a inquiry submitted online for help. Caller: With financial assistance it looks like. Let me look at your profile. Yep. An inquir",Fraud,Fraud,Fraud,Fraud,Fraud
252,Fraud,"Agent: Hello? Caller: Hi. Um, good afternoon, miss [NAME], please? Hello? Agent: [confused] [NAME]? Oh, you mean, uh, Mrs. [NAME]. My husband was [NAME]. Caller: Miss [NAME]? Caller: Yeah. Agent: Oh, [confused] yes, that's me. Oh, [confused] hello? Yes, this is [NAME]. Who is this, please? Caller: Hi, miss [NAME]. This is [NAME], the life insurance um, agent you were speaking to. You'd given me yo",Fraud,Normal,Fraud,Fraud,Fraud
253,Fraud,"Agent: Hello? Caller: Hi. I was calling for [ORG]. Agent: [ORG], [curious] is that like, um, insurance or something? Caller: Hello? Oh, no. Not eight. No. Uh, uh, I gotta I'm sorry about that. I'm calling from, uh, a law firm, um, [ORG]. Somebody put in a a request for some assistance on an installment agreement with the [ORG], and so I was just following up on that. Agent: Oh, [confused] the [ORG",Fraud,Fraud,Fraud,Fraud,Fraud
254,Fraud,"Agent: Hello? Caller: Hi. This is [NAME] with [ORG] on a recorded line. Is this [NAME]? Agent: Yes, this is [NAME]. [calm] How can I help you, dear? Caller: Yes. I was following up with you about information regarding financing options on your home. [ORG] has a new five by five program where we can now approve some loans in as little as five minutes and funding within five days. Are you the homeow",Fraud,Fraud,Fraud,Fraud,Fraud
255,Normal,"Agent: Hello? Caller: Hello. How are you? This is [NAME] calling from [ORG] speak with [NAME]? Agent: Oh, [calm] yes, this is [NAME]. [NAME], you say? What can I do for you, dear? Caller: Hi. I'm calling because we received your online request to obtain information pricing on windows and doors. Um, for what I see, I could help you out with your project. Is that okay? Agent: Oh, [confused] windows ",Fraud,Normal,Fraud,Normal,Normal
256,Fraud,"Agent: Hello? Caller: Hi. Is this [NAME]? Agent: Yes, this is [NAME]. [curious] Who's calling, please? Caller: Hey. This is [NAME] with [ORG] on a recorded line. How are you today? Agent: Oh, hello, [NAME]. [calm] I'm doing alright, just enjoying the sunshine here in Sarasota. [curious] What can I do for you, dear? Caller: Well, just wanted to confirm. You just confirmed you're in Florida. So, um,",Fraud,Fraud,Fraud,Fraud,Fraud
257,Normal,"Agent: Hello? Caller: Hello? Miss [NAME]? This is [NAME]. Agent: [confused] [NAME]? Oh, no, dear, it's [NAME]. E-D-N-A. Did you say [NAME]? Caller: Yes. I said [NAME]. I didn't say [NAME]. How are you? Caller: How are you today? Agent: [calm] Oh, my apologies then. It's just sometimes these phones, you know. [curious] I'm doing all right, dear. [calm] Oh, well, my hearing isn't what it used to be,",Fraud,Normal,Fraud,Fraud,Fraud
258,Normal,"Agent: Hello? Caller: Hello? Agent: Oh, [curious] hello? Caller: Hello? Hi. This is [NAME] here at [ORG] with [ORG]. I was trying to get a hold of [NAME] for a quote. Agent: Oh, um, [uncertain] yeah, that's me. What's this about? Caller: Well, it's about a quote for an alarm system. Are you still interested in an alarm system? Agent: Oh, um, [uncertain] an alarm system quote? I think so? I mean, I",Fraud,Fraud,Fraud,Fraud,Fraud
259,Fraud,"Agent: Hello? Caller: Hi, [NAME]. How are you? Agent: Oh, [curious] I'm good, um, who's this? Caller: Good. Good to hear. Agent: Okay... [confused] who is this, though? Caller: This is [NAME]. Caller: With [ORG]. So we just spoke to you right now. Caller: About helping you with your tax debt, helping you eliminate or reduce your tax debt. Caller: And we completed your your application. Uh, so I'm ",Fraud,Fraud,Fraud,Fraud,Fraud
260,Normal,"Agent: Hello? Caller: Hi. This is [NAME]. Agent: Yes, [calm] this is [NAME]. Who's calling, dear? Caller: It's [NAME] from [ORG]. Caller: [ORG] again. I am at try again. I called you about a week ago. Um, [NAME] from [ORG] gave us your contact information and said that you might be interested in senior services. But I'm not sure if that meant, like, services for someone with a cognitive impairment",Fraud,Normal,Normal,Normal,Normal
261,Normal,"Agent: Hello? Caller: Yes. Hello. This is [NAME] with [ORG]. How are you doing today, ma'am? Agent: Oh, hello. [calm] I'm doing all right, dear. Just enjoying the Sarasota sunshine, you know. [curious] What can I do for you, [NAME]? Caller: Yeah. Definitely. Definitely. I was just giving you a quick call because I see that you had, uh, got a quote for your property in Sirota. [ZIP]. And I was just",Fraud,Normal,Fraud,Normal,Fraud
262,Normal,"Agent: Hello? Caller: Well, a place to go to [ORG]. Agent: [ORG], [confused] hmm. Is this about, um, the new [ORG] plans? Caller: Uh, you submitted a request on my website to talk about [ORG]? Agent: Oh, [surprised] I did? Goodness, I don't recall... But [curious] what exactly were you hoping to talk about with that? Caller: Uh, well, it's it's it's more like what what were you looking to speak to",Fraud,Normal,Fraud,Normal,Fraud
263,Fraud,"Agent: Hello? Caller: Hi. Uh, is this [NAME]? Agent: [confused] [NAME]? Oh, no, [slight pause] this is [NAME]. You might have the wrong number, bless your heart. Caller: Hi. Uh, this is [NAME] with [ORG]. On a recorded line, and, um, I'm, uh, calling to let you know that we finished reviewing your debt consolidation application, And, yeah, I just wanted to see if you might have a moment so we coul",Fraud,Fraud,Fraud,Fraud,Fraud
264,Fraud,"Agent: Hello? Caller: Hello, [NAME]. Hello? Agent: Yes, [calm] this is [NAME]. Who's calling, please? Caller: This is [NAME], and we were just talking about your your [ORG]. Agent: Oh, [curious] [ORG]? Yes. What about it? Caller: Yes. Caller: Uh, do you remember talking to me? Agent: Are you, [curious] are you with the government, or...? Well, [confused] I talk to so many people these days, you kn",Fraud,Normal,Fraud,Fraud,Fraud
265,Normal,"Agent: Hello? Caller: Hello? Recorded. Hi. [NAME]? Agent: Yes, [confused] this is [NAME]. Who is this, please? Caller: Hi. And, uh, this is [NAME] with [ORG]. We got your inquiry online saying maybe you're need some [ORG], uh, options. Agent: Oh, [surprised] [ORG]? Well, um, yes, I think I did look into that, you know. [curious] What kind of options are we talking about? Caller: Well, you're looki",Fraud,Normal,Fraud,Fraud,Fraud
266,Fraud,"Agent: Hello? Caller: Anna. Agent: Anna? [confused] Oh, Anna. [curious] What can I do for you, dear? Caller: Meow. Agent: [confused] Meow? Oh, [chuckling] that's a funny way to start a call. [curious] Did you say your name was Anna? Caller: Shut up. Agent: Well, [worried] that's not very polite, is it? [curious] What is this call about, dear? Caller: Wait. Wait. Wait. Wait. Wait. Wait. Wait. Calle",Fraud,Fraud,Fraud,Fraud,Fraud
267,Normal,"Agent: Hello? Caller: Good afternoon. Speaking with miss [NAME]? Agent: Yes, this is [NAME]. [curious] Who's calling, please? Caller: Hi. This is [NAME] calling with [ORG]. Agent: Oh, [ORG]? [confused] I don't think I know that one. [curious] What's this about? Caller: Yes. I Caller: It looks like you have requested a quote for a, um, a motorcycle at twenty fifteen Honda. Agent: Oh, [ORG]? [confus",Fraud,Normal,Fraud,Normal,Fraud
268,Normal,"Agent: Hello? Caller: Hey, [NAME]. Caller: Uh, my name is [NAME] over here at [ORG]. I am reaching out to you. I had received your online window inquiry from one of our partners for the free window consultation. Agent: Yeah, that's me. [curious] Who's this? Oh, [curious] the window thing? Yeah, okay. What's up with that? Caller: Yeah. Yeah. Yeah. Yeah. Caller: So I was just reaching out to you, uh",Fraud,Normal,Fraud,Normal,Normal
269,Normal,"Agent: Hello? Caller: Hi. This is [NAME]. I'm calling from [ORG]. In [ORG] on a monitored or recorded line. Is this [NAME]? Agent: Oh, [calm] yes, this is [NAME]. [ORG], you say? What's this about, dear? Caller: [NAME]? Uh, [ORG]. It's with [ORG] in Caller: [ORG] in [ORG]. Agent: Oh, [confused] [ORG]? I thought you said [ORG]. My hearing isn't what it used to be. What can I do for you, dear? Oh, [",Fraud,Normal,Fraud,Fraud,Fraud
270,Fraud,"Agent: Hello? Caller: Hi, [NAME]. Agent: Yes, [curious] who's this please? Caller: Hi. This is [NAME] at [ORG]. We're on a recorded call. How are you doing today? Agent: Oh, [calm] hello [NAME]. I'm doing alright, thank you. Um, what can I do for you? Caller: So you're online chatting with one of my assistants, and I'm calling for your appointment. Caller: The notes say you're looking for help to ",Fraud,Fraud,Fraud,Fraud,Fraud
271,Fraud,"Agent: Hello? Caller: Hello? Can you hear me? This is [NAME] on a recorded line. Am I speaking with Agent: Yes, yes, this is [NAME]. [curious] Who is this, please? Caller: [NAME]? Hello? Agent: Yes, this is [NAME]. [confused] Can you hear me now? Caller: Can you hear me? Caller: Uh, what yes. We have received your request for some assistance with your debt. Caller: So I'm contacting you looking fo",Fraud,Fraud,Fraud,Fraud,Fraud
272,Fraud,"Agent: Hello? Caller: Hi. I have exciting news in regards to new tax forgiveness programs and you may be able to qualify. We help thousands of people just like you cancel out or have their tax debt completely forgiven even if they've been turned down in the past. Caller: This isn't like the old programs. This is due to the new administration, and I do not want you to miss out. Stay on the line, an",Fraud,Normal,Fraud,Fraud,Fraud
273,Fraud,"Agent: Hello? Caller: Is this [NAME]? Agent: Yes, [curious] it is [NAME]. Who is this, please? Caller: Hi, [NAME]. This is [NAME] at [ORG] calling here on a recorded line. Caller: Um, I have some notes that say you need some help getting out of debt. Uh, is that correct? Agent: Okay, [NAME]. [uncertain] How can I help you, my friend? Oh, [uncertain] yes, the debt. Yeah, that's right. I'm just tryi",Fraud,Fraud,Fraud,Fraud,Fraud
274,Fraud,"Agent: Hello? Caller: Hello, mister [NAME]? Agent: Yeah, [curious] who's this? Caller: Hello? Caller: My name is [NAME]. I'm a Caller: calling you regarding an inquiry you made to our website for [ORG]. Agent: Yeah, this is [NAME]. [curious] Who's calling? Hey [NAME], [impatient] what's up? I'm kinda busy here. Oh, okay, [confused] yeah. [ORG], right. What's — what's this about? Caller: Well, you ",Fraud,Fraud,Fraud,Fraud,Fraud
275,Fraud,"Agent: Hello? Caller: I love you. Agent: [confused] Oh, um, hello? This is [NAME]. [curious] Who is this, please? Caller: Call. Caller: I love you. Agent: [confused] Call? I'm sorry, I don't quite follow. [curious] Did you mean to call me? [confused] I'm sorry, I... I don't quite understand. [curious] Did you say you love me? Caller: Yeah. Agent: [nervous] Oh. Well, that's... that's certainly a se",Fraud,Fraud,Fraud,Fraud,Fraud
276,Normal,"Agent: Hello? Caller: Hi. Agent: Ah, hello there. [curious] Who's this now? Caller: [NAME]. Agent: [NAME], [curious] is it? And what can I do for ya, [NAME]? Caller: So yes, Okay. You told me Columbia Road. Right? Agent: Columbia Road, [confused] yeah. What about it? Caller: You told me about Columbia Road. Right? Agent: Oh, Columbia Road! [nostalgic] Aye, that's right. I was just talkin' about it",Fraud,Fraud,Fraud,Fraud,Fraud
277,Fraud,"Agent: Hello? Caller: Hi. Is this, uh, [NAME]? Agent: [curious] Aye, 'tis [NAME]. Who's this now? Caller: This is [NAME]. Hi. My name is [NAME]. I'm a licensed insurance agent with [ORG] on a recorded and monitored line. Um, I kinda work with people who have, uh, [ORG] parts a and b. Uh, to see if they may be eligible for some extra benefits and allowances or kinda any way to help put money back i",Fraud,Normal,Fraud,Normal,Fraud
278,Fraud,"Agent: Hello? Caller: Hi, [NAME]. This is [NAME] from [ORG] on a recorded line. How are you today? Agent: Oh, hello [NAME]. [calm] I'm doing alright, dear, just had my lunch. [curious] What's this about, [ORG]? Caller: Yes. So, um, I do see here that your application online filtered into our one on one phone Caller: call consultation. Um, it is a debt settlement company to assist you with your deb",Fraud,Fraud,Fraud,Fraud,Fraud
279,Fraud,"Agent: Hello? Caller: Hi. This is [NAME] with the [ORG] on a recorded line. How Caller: are you? Agent: [confused] [ORG]? Okay. Uh, [curious] what's this about, [NAME]? [confused] [ORG]? Okay, [NAME]. I'm good, [curious] what's this about? Caller: Hello? Well, I received an inquiry that you were in Caller: involved in an accident that was not your fault. Is that correct? Agent: Yeah, yeah, I'm her",Fraud,Fraud,Fraud,Fraud,Fraud
280,Fraud,"Agent: Hello? Caller: Hi. This is [NAME] calling from [ORG] on a recorded line. Am I speaking with [NAME]? Agent: [calm] Yes, this is [NAME]. What can I help you with, dear? [ORG], you said? Caller: Hello? Again, hi. This is [NAME]. Oh, Caller: yeah. Hi. Good morning. Um, this is [NAME]. Calling from [ORG]. Caller: Well, we received your inquiry for that assistance. So let me go ahead and confirm ",Fraud,Fraud,Fraud,Fraud,Fraud
281,Normal,"Agent: Hello? Caller: Hello? Hi. Is this [NAME]? Agent: Yeah, [curious] who's this? Caller: Hello? Agent: Yeah, this is [NAME]. [curious] Who's calling? Caller: Hi, [NAME]. My name is [NAME]. I'm a qualifying specialist with [ORG] on a recorded and monitored line. Caller: I'm following up on the request, uh, we received for information about [ORG]. How are you this evening? Agent: Okay. [confused]",Fraud,Normal,Fraud,Normal,Fraud
282,Fraud,"Agent: Hello? Caller: Is this [NAME]? Agent: Yeah, [curious] it is. Who's this? Caller: Hi, [NAME]. This is [NAME] from [ORG] on a recorded line. How are you this morning? Agent: Oh, hey [NAME]. Um, [nervous] I'm good, just heading into work. What's up? Caller: Yeah. I'm just, uh, returning a call. You filled out an online inquiry, uh, pertaining to assistance with your debt. Caller: Uh, are you l",Fraud,Fraud,Fraud,Fraud,Fraud
283,Fraud,"Agent: Hello? Caller: Hello. This is [NAME] with [ORG]. I was following up on the inquiry you submitted for debt relief. Agent: Oh, [curious] okay, yeah. I mean, I've been looking into a few things for my student loans, you know? Bless it, those things are a lot. Caller: Okay. Alright. Um, mean, we'll all we have to do is just do a soft credit pull. Uh, to do a debt evaluation to see how much debt",Fraud,Fraud,Fraud,Fraud,Fraud
284,Fraud,"Agent: Hello? Caller: Hello? Agent: Yeah, [curious] who's this? Caller: Yes. Um, yes. This is not as okay. You're going from [ORG] on a recorded line. Is [NAME]? Agent: Yeah, this is [NAME]. [confused] What's up? Caller: Yeah. So I'm just following up in regards to your inquiry to the website. Caller: Can I confirm that you're in the state of California? Agent: My inquiry? [confused] Oh, okay, yea",Fraud,Fraud,Normal,Normal,Fraud
285,Normal,"Agent: Hello? Caller: Yeah. Hi. You're speaking with miss [NAME]? Agent: Yes, this is [NAME]. [curious] Who's calling, please? Caller: Uh, [ORG], my name is [NAME]. I believe you remember uh, yesterday, we had a word regarding your medication services. Caller: So I just wanted to confirm, like, have you spoke to the agent Caller: and have you gotten the place? Agent: Oh, [confused] [ORG]. Right. I",Fraud,Normal,Fraud,Fraud,Fraud
286,Fraud,"Agent: Hello? Caller: Hello? Agent: Oh, hello dear. [curious] Who is this? Caller: This is [NAME] with [ORG] calling for [NAME]. Agent: Oh, yes, that's me. [calm] [NAME]. [curious] And you're with, um, [ORG], you said? What can I help you with? Caller: Yes. Caller: Um, there was an online application filled out last night for a phone call for some information regarding a mortgage. Agent: Mm-hmm. [",Fraud,Normal,Fraud,Normal,Fraud
287,Fraud,"Agent: Hello? Caller: Hi, [NAME]. Agent: Yeah, [confused] who's this? Caller: [NAME]. Good morning. This is [NAME] on a recorded line. How are you today? Agent: Uh, good, [confused] I guess. What's up? Caller: Um, are you applying for a personal loan in debt consolidation, sir? Agent: Oh, the loan thing, [uncertain] yeah, I think so. What about it? Caller: So we're just following up see if you sti",Fraud,Fraud,Fraud,Fraud,Fraud
288,Normal,"Agent: Hello? Caller: Hi. My name is [NAME] and I'm a live insurance agent with [ORG]. On behalf of [ORG] on a recorded and monitored line. How are you? Agent: Oh, [calm] I'm doing just fine, dear. [curious] And what was this call about again? Caller: I'm following up on a request to receive for information about [ORG] health plan options. Agent: Oh, [confused] a request? I don't recall... [long p",Fraud,Normal,Fraud,Normal,Fraud
289,Normal,"Agent: Hello? Caller: Hi. Is this [NAME]? Agent: Yes, [curious] it is [NAME]. Who is this, please? Caller: Hi, [NAME]. My name is [NAME]. I'm a qualifying specialist with [ORG] on a recorded and monitored line. Caller: Are you this morning? Agent: Okay. [curious] And what is this about, my friend? Oh, [nervous] okay. Yes, I am fine, thank you. What is this about, please? Caller: Of course. I'm jus",Fraud,Normal,Normal,Normal,Normal
290,Normal,"Agent: Hello? Caller: Hi. This is [NAME] calling from [ORG] on a recorded line. Am I speaking with [NAME]? Agent: Oh, [calm] yes, this is [NAME]. Caller: Oh, hey, [NAME]. We spoke with you recently and connected you with [ORG] agent, and we wanted to check-in and see if you were able to find a policy that met your needs or if you're still looking for home insurance options. Agent: Oh, [curious] um",Fraud,Normal,Fraud,Normal,Normal
291,Fraud,"Agent: Hello? Caller: Hi, [NAME]? Agent: [confused] [NAME]? Oh, no, dear, it's [NAME]. [NAME]. [curious] Who's calling, please? Caller: Uh, this is [NAME] with [ORG]. Agent: [calm] Oh, [ORG]. [curious] And what can I do for you, [NAME]? Caller: I'm responding to an in placed to get information about consolidating debt you have. Agent: [curious] Oh, the debt consolidation. Right. [confused] Now, wh",Fraud,Fraud,Fraud,Fraud,Fraud
292,Normal,"Agent: Hello? Caller: Hi. This is [NAME] with [ORG]. I'm calling for [NAME]. Agent: Oh, [curious] hey [NAME]! Yeah, this is [NAME]. What's up? Caller: Hi. I was just calling because I noticed you've inquired about auto insurance online. Is this something you're still interested in today? Agent: Oh, [confused] the auto insurance? Yeah, I guess so. I mean, I'm always looking to save a buck, you know",Fraud,Normal,Fraud,Normal,Normal
293,Normal,"Agent: Hello? Caller: Good morning. Is this or sorry. Good afternoon. Is this [ORG]? Agent: [confused] [ORG]? No, dear, this is [NAME]. You must have the wrong number. But, [curious] who are you trying to reach? Caller: Can you hear me? Agent: Yes, [calm] I can hear you just fine, dear. I said this is [NAME], not [ORG]. [curious] Who did you say you were calling for? Caller: I'm looking for [NAME]",Fraud,Normal,Fraud,Fraud,Fraud
294,Fraud,"Agent: Hello? Caller: Hello. May I speak with [ORG]? Agent: Oh, [confused] you mean [NAME], dear. That's me. Who's calling, please? Caller: Yes. This is [NAME] with [ORG]. Hello? Agent: Oh, [calm] okay, [NAME]. Hello. What can I do for you, dear? Caller: I'm following up on your online inquiry. Were you still looking for opt to resolve your debt? Agent: Oh, [surprised] my debt? Well, I mean, yes, ",Fraud,Fraud,Fraud,Fraud,Fraud
295,Normal,"Agent: Hello? Caller: Hello? Agent: Hello, [curious] who is this? Caller: Hey. This is [NAME] and I'm calling from [ORG]. Um, is this [NAME]? Agent: Oh, [satisfied] yes, this is [NAME]. [ORG], you said? I don't recall... [confused] What was this about, dear? Caller: Yep. So, um, it looks like you had request some information about [ORG] supplement. Caller: From [ORG]. So I'm I'm just giving you a ",Fraud,Normal,Fraud,Fraud,Fraud
296,Fraud,"Agent: Hello? Caller: It's me again. Agent: Oh, [confused] again? I — I'm sorry, dear, my memory isn't what it used to be. [curious] Who did you say this was? Caller: Say the Lord is my savior three times fast. Why are you taking so long to respond? Agent: Oh, [confused] the Lord is my savior? Well, um, I pray every night, dear. But [curious] who is this again? I just... I don't recognize the numb",Fraud,Fraud,Fraud,Fraud,Fraud
