token,coefficient,pushes_toward,scam_docs,legit_docs
that this,0.0375,Fraud,3,0
next will,0.0366,Fraud,6,0
and are,0.0353,Fraud,4,2
us how,0.035,Fraud,1,1
our now,0.035,Fraud,2,0
our to,0.0349,Fraud,25,8
to all,0.0349,Fraud,4,2
have where,0.0348,Fraud,2,2
to move,0.0343,Fraud,2,1
out to,0.0342,Fraud,8,4
that your,0.0335,Fraud,15,10
here is,0.0331,Fraud,3,0
the that,0.0329,Fraud,4,2
first who,0.0325,Fraud,6,0
is too,0.0325,Fraud,2,0
and more,0.0322,Fraud,5,1
in top,0.0315,Fraud,2,0
now be,0.0311,Fraud,1,1
from name,0.0311,Fraud,1,1
part is,0.0309,Fraud,2,0
are here,0.0307,Fraud,4,1
our up,0.0305,Fraud,1,1
on what,0.0302,Fraud,1,1
every it,0.0298,Fraud,1,1
upon you,0.0295,Fraud,3,0
of as,0.0294,Fraud,2,0
me about,0.0292,Fraud,1,1
other to,0.029,Fraud,2,0
with some,0.0282,Fraud,3,2
if any,0.0282,Fraud,3,0
us now,0.028,Fraud,4,0
at for,0.028,Fraud,2,2
off for,0.0269,Fraud,1,1
up with,0.0268,Fraud,3,1
the have,0.0266,Fraud,4,0
and on,0.0264,Fraud,5,1
the am,0.0262,Fraud,4,0
not your,0.0258,Fraud,2,0
as and,0.0258,Fraud,2,1
about we,0.0255,Fraud,1,1
be after,0.0252,Fraud,4,1
several,0.0249,Fraud,1,1
for one,0.0246,Fraud,1,1
in by,0.0246,Fraud,2,1
at to,0.0243,Fraud,2,1
am your,0.0243,Fraud,2,0
next only,0.0241,Fraud,2,0
you name,0.0241,Fraud,2,0
is as,0.0231,Fraud,1,1
once is,0.023,Fraud,2,0
for not,0.0229,Fraud,2,0
and have,0.0227,Fraud,2,2
our after,0.0224,Fraud,2,0
so please,0.0224,Fraud,2,0
out our,0.0224,Fraud,4,1
with upon,0.0215,Fraud,2,0
after your,0.0215,Fraud,2,0
the all,0.0208,Fraud,2,0
full and,0.0208,Fraud,2,1
are it,0.0208,Fraud,1,1
very this,0.0208,Fraud,2,0
you towards,0.0208,Fraud,2,0
no and,0.0208,Fraud,2,0
now am,0.0207,Fraud,3,0
should any,0.02,Fraud,2,0
the same,0.0197,Fraud,2,1
same,0.0197,Fraud,2,1
the it,0.0195,Fraud,2,1
will not,0.0193,Fraud,2,0
but also,0.0193,Fraud,2,0
only but,0.0193,Fraud,2,0
on to,0.0193,Fraud,3,3
now it,0.0193,Fraud,3,1
who within,0.0192,Fraud,3,0
are on,0.019,Fraud,11,14
may to,0.0187,Fraud,11,2
and please,0.0184,Fraud,9,4
in that,0.0183,Fraud,3,1
their do,0.0177,Fraud,3,0
your upon,0.0177,Fraud,2,0
is our,0.0176,Fraud,6,3
many yourself,0.0176,Fraud,3,0
out this,0.0174,Fraud,1,1
us get,0.017,Fraud,2,1
an do,0.0165,Fraud,2,0
that up,0.0164,Fraud,1,1
your interest,0.0163,Fraud,4,1
to do,0.0162,Fraud,8,2
and by,0.016,Fraud,2,0
there might,0.016,Fraud,2,0
by our,0.0156,Fraud,6,2
you with,0.0154,Fraud,12,5
is about,0.0154,Fraud,3,2
our is,0.0153,Fraud,10,3
please all,0.0149,Fraud,2,1
its to,0.0148,Fraud,5,1
it some,0.0148,Fraud,3,2
not all,0.0147,Fraud,2,0
but that,0.0147,Fraud,2,0
was you,0.0141,Fraud,1,1
yourself their,0.014,Fraud,2,0
we together,0.0137,Fraud,1,1
about you,0.0124,Fraud,1,1
from and,0.012,Fraud,5,3
of now,0.012,Fraud,2,0
have that,0.0117,Fraud,4,1
what,0.0113,Fraud,11,9
the my,0.0111,Fraud,2,0
your take,0.0106,Fraud,1,1
that have,0.0106,Fraud,2,0
and that,0.0104,Fraud,3,1
have if,0.0099,Fraud,1,1
too to,0.0096,Fraud,3,2
or your,0.0096,Fraud,2,3
already their,0.0095,Fraud,2,0
many have,0.0095,Fraud,2,0
but has,0.0095,Fraud,2,0
before and,0.0092,Fraud,1,1
amount we,0.0092,Fraud,2,0
once your,0.0092,Fraud,2,0
your within,0.0092,Fraud,2,0
yourself have,0.0092,Fraud,2,0
the into,0.0092,Fraud,2,0
do so,0.0089,Fraud,1,1
on us,0.0087,Fraud,1,1
you this,0.0081,Fraud,1,1
through the,0.0081,Fraud,10,4
name for,0.0079,Fraud,2,1
other,0.0079,Fraud,7,3
in as,0.0064,Fraud,2,1
us the,0.0063,Fraud,8,4
into to,0.0063,Fraud,1,1
your our,0.0057,Fraud,10,3
and there,0.0055,Fraud,4,1
found that,0.0052,Fraud,1,1
you through,0.0049,Fraud,8,4
under your,0.0041,Fraud,1,1
can you,0.004,Fraud,21,18
you are,0.0039,Fraud,35,37
be so,0.0029,Fraud,6,2
between to,0.0014,Fraud,2,1
name at,0.0013,Fraud,2,1
now before,0.001,Fraud,1,1
any for,0.0009,Fraud,1,1
are out,0.0008,Fraud,3,2
is well,0.0003,Fraud,2,1
you because,0.0001,Fraud,1,1
could be,-0.0006,Normal,5,3
over the,-0.0017,Normal,4,5
to with,-0.002,Normal,21,13
and an,-0.0023,Normal,4,1
find the,-0.0029,Normal,1,1
was,-0.0032,Normal,13,14
on please,-0.0034,Normal,1,1
are during,-0.0037,Normal,1,1
for that,-0.0043,Normal,2,2
you there,-0.0045,Normal,1,1
has on,-0.0049,Normal,1,1
up this,-0.0054,Normal,1,1
this could,-0.0061,Normal,2,1
the system,-0.0061,Normal,1,1
many,-0.0069,Normal,6,1
from,-0.008,Normal,173,144
it your,-0.0083,Normal,3,1
be by,-0.0085,Normal,4,1
of could,-0.0088,Normal,1,1
our show,-0.0088,Normal,1,1
an about,-0.0093,Normal,2,2
for me,-0.0095,Normal,2,3
and is,-0.0095,Normal,3,2
is but,-0.0097,Normal,1,1
well with,-0.01,Normal,1,1
our could,-0.01,Normal,5,4
have us,-0.0102,Normal,1,1
us me,-0.0104,Normal,1,1
call you,-0.0104,Normal,1,1
this us,-0.0105,Normal,1,1
of will,-0.0108,Normal,3,1
become,-0.0115,Normal,1,1
that has,-0.0116,Normal,2,1
when you,-0.0117,Normal,1,3
or for,-0.012,Normal,3,1
not about,-0.0121,Normal,1,1
will on,-0.0129,Normal,2,1
already,-0.0143,Normal,4,2
would for,-0.0148,Normal,1,2
you still,-0.0152,Normal,1,1
so much,-0.0158,Normal,1,2
under,-0.0165,Normal,5,2
in you,-0.0168,Normal,6,4
our or,-0.0168,Normal,1,1
up in,-0.0175,Normal,3,2
and few,-0.018,Normal,1,1
be if,-0.0182,Normal,1,1
in of,-0.0184,Normal,10,2
under the,-0.021,Normal,4,1
your in,-0.0211,Normal,26,12
or with,-0.0215,Normal,1,2
for up,-0.0215,Normal,1,1
this our,-0.0225,Normal,1,1
the for,-0.0228,Normal,9,7
name will,-0.0236,Normal,1,2
rather,-0.0241,Normal,1,1
one and,-0.0241,Normal,1,1
to us,-0.0243,Normal,7,7
there to,-0.0243,Normal,1,1
is not,-0.0248,Normal,4,1
are in,-0.0255,Normal,12,7
you may,-0.0256,Normal,9,7
their this,-0.0263,Normal,1,1
my the,-0.027,Normal,1,1
is if,-0.0272,Normal,1,2
show,-0.0276,Normal,2,2
be the,-0.0277,Normal,3,1
you by,-0.0282,Normal,2,1
as the,-0.0293,Normal,3,1
for yourself,-0.0297,Normal,1,1
have of,-0.0298,Normal,5,2
of on,-0.0299,Normal,2,2
you well,-0.0301,Normal,1,1
was to,-0.0313,Normal,2,2
you made,-0.032,Normal,1,1
can the,-0.032,Normal,16,12
this on,-0.0323,Normal,1,2
the me,-0.0326,Normal,2,2
to call,-0.0328,Normal,1,2
where we,-0.0329,Normal,1,1
can and,-0.0329,Normal,2,2
name are,-0.033,Normal,1,1
how you,-0.0332,Normal,1,2
out the,-0.0338,Normal,1,2
by us,-0.0345,Normal,2,1
through,-0.0349,Normal,33,12
the in,-0.035,Normal,10,4
have had,-0.0354,Normal,1,1
be to,-0.0355,Normal,23,17
to yourself,-0.0356,Normal,3,1
in is,-0.036,Normal,2,1
are to,-0.0361,Normal,44,25
at we,-0.0361,Normal,2,1
to could,-0.0365,Normal,3,3
our the,-0.0374,Normal,6,2
other this,-0.0383,Normal,1,1
together to,-0.0385,Normal,2,1
its and,-0.0393,Normal,2,1
one for,-0.0395,Normal,2,1
be from,-0.0398,Normal,1,2
much to,-0.0401,Normal,1,2
than ever,-0.0403,Normal,1,1
your while,-0.0403,Normal,1,1
ever,-0.0404,Normal,2,2
be on,-0.0405,Normal,9,2
or our,-0.0409,Normal,1,1
us are,-0.0418,Normal,1,1
am out,-0.0427,Normal,3,3
in we,-0.043,Normal,3,2
the or,-0.043,Normal,6,7
move,-0.0433,Normal,2,3
it in,-0.0442,Normal,1,1
at us,-0.0452,Normal,1,3
at and,-0.0453,Normal,9,6
the if,-0.0454,Normal,1,3
and where,-0.0457,Normal,1,1
very,-0.0461,Normal,7,6
your for,-0.0462,Normal,45,24
your during,-0.0469,Normal,1,1
was very,-0.0476,Normal,0,2
you me,-0.0476,Normal,3,10
for for,-0.0478,Normal,4,3
few,-0.048,Normal,11,10
that our,-0.0483,Normal,1,1
for its,-0.0483,Normal,2,1
call for,-0.0487,Normal,0,2
that every,-0.0487,Normal,1,2
you not,-0.0488,Normal,1,1
the will,-0.0491,Normal,4,2
with would,-0.05,Normal,0,2
that on,-0.0501,Normal,0,2
your do,-0.051,Normal,1,1
it this,-0.0511,Normal,1,1
your at,-0.0524,Normal,1,2
than,-0.0524,Normal,4,5
any you,-0.0527,Normal,1,2
or keep,-0.0528,Normal,0,2
keep you,-0.0528,Normal,0,2
keep,-0.0528,Normal,0,2
last the,-0.0536,Normal,1,1
might it,-0.0537,Normal,0,2
we that,-0.0543,Normal,1,2
no to,-0.0545,Normal,1,1
what you,-0.0546,Normal,1,2
it on,-0.0552,Normal,1,2
am you,-0.0558,Normal,2,1
have it,-0.0563,Normal,2,2
in so,-0.0566,Normal,1,3
we in,-0.0569,Normal,2,1
that it,-0.0572,Normal,1,1
have from,-0.0587,Normal,1,1
it us,-0.0593,Normal,0,2
interest,-0.0607,Normal,10,8
will do,-0.063,Normal,1,1
and something,-0.0634,Normal,0,2
as please,-0.0634,Normal,1,1
to by,-0.0636,Normal,4,5
since,-0.0641,Normal,1,2
on by,-0.065,Normal,0,2
am here,-0.0651,Normal,6,4
being,-0.0651,Normal,6,7
are our,-0.0661,Normal,1,1
up call,-0.0661,Normal,0,2
name how,-0.0665,Normal,0,2
the name,-0.0666,Normal,2,1
or should,-0.0672,Normal,0,2
found for,-0.0673,Normal,0,2
of us,-0.0674,Normal,1,2
up we,-0.0675,Normal,1,1
is very,-0.0677,Normal,2,2
for is,-0.0679,Normal,1,2
if anything,-0.0687,Normal,0,2
any we,-0.0696,Normal,6,2
have such,-0.0696,Normal,0,2
last it,-0.0698,Normal,0,2
how have,-0.0705,Normal,0,2
get all,-0.0707,Normal,1,1
from has,-0.071,Normal,0,2
together and,-0.0711,Normal,0,2
would have,-0.0713,Normal,0,2
while you,-0.0716,Normal,0,2
on if,-0.0721,Normal,0,2
the over,-0.0723,Normal,0,2
to together,-0.0726,Normal,6,4
can now,-0.0726,Normal,1,2
over your,-0.0727,Normal,0,2
we still,-0.0728,Normal,0,2
to have,-0.0729,Normal,6,5
us we,-0.0734,Normal,1,3
or someone,-0.0735,Normal,0,2
name into,-0.0739,Normal,1,1
still on,-0.0741,Normal,0,2
to few,-0.0743,Normal,1,1
out for,-0.0751,Normal,0,2
it was,-0.0752,Normal,3,6
and of,-0.0756,Normal,15,8
through and,-0.076,Normal,1,1
me it,-0.076,Normal,0,2
there is,-0.076,Normal,8,10
in for,-0.0763,Normal,1,1
this the,-0.0765,Normal,1,2
next would,-0.0766,Normal,0,3
you while,-0.0766,Normal,0,2
and even,-0.0772,Normal,0,2
it at,-0.0773,Normal,0,2
find,-0.0784,Normal,2,4
as to,-0.0786,Normal,2,1
with or,-0.0791,Normal,1,3
at that,-0.0792,Normal,0,2
something at,-0.0792,Normal,0,2
their the,-0.0794,Normal,1,1
from that,-0.0802,Normal,0,2
with few,-0.0805,Normal,1,2
that the,-0.0806,Normal,2,2
that might,-0.0813,Normal,0,2
us on,-0.0819,Normal,5,1
are with,-0.0821,Normal,9,6
to that,-0.0824,Normal,5,3
and all,-0.0825,Normal,2,5
please this,-0.0827,Normal,1,1
or do,-0.0827,Normal,0,2
we and,-0.0828,Normal,0,2
move to,-0.0843,Normal,0,2
of are,-0.0846,Normal,2,1
and up,-0.0846,Normal,5,4
still for,-0.0848,Normal,1,3
please to,-0.0848,Normal,2,2
call so,-0.085,Normal,0,2
something you,-0.0851,Normal,0,2
and in,-0.0855,Normal,8,4
do together,-0.0866,Normal,0,3
you too,-0.0867,Normal,0,2
that and,-0.087,Normal,2,3
be between,-0.087,Normal,0,2
me sometime,-0.0873,Normal,0,2
me of,-0.0881,Normal,0,2
the was,-0.0883,Normal,0,2
all,-0.0886,Normal,21,14
about from,-0.0899,Normal,1,1
am at,-0.09,Normal,0,2
or call,-0.0908,Normal,0,2
the us,-0.0909,Normal,2,2
their and,-0.0909,Normal,1,2
to can,-0.0912,Normal,1,2
name my,-0.0917,Normal,1,2
or have,-0.0918,Normal,0,3
you anything,-0.0921,Normal,0,2
can with,-0.0924,Normal,1,3
or please,-0.0925,Normal,1,3
your next,-0.093,Normal,1,3
my and,-0.0931,Normal,2,2
for something,-0.0933,Normal,0,2
might have,-0.0934,Normal,0,2
next we,-0.0935,Normal,1,3
you give,-0.0939,Normal,0,2
back from,-0.0943,Normal,0,2
name back,-0.0943,Normal,0,2
have so,-0.0943,Normal,0,2
or we,-0.0944,Normal,0,2
last and,-0.0947,Normal,0,2
on that,-0.0955,Normal,0,2
should do,-0.0955,Normal,0,2
your what,-0.0961,Normal,1,2
some you,-0.0966,Normal,0,2
your last,-0.097,Normal,0,2
even,-0.0971,Normal,6,7
any side,-0.0972,Normal,0,2
side or,-0.0972,Normal,0,2
at it,-0.0973,Normal,0,4
bill can,-0.0984,Normal,0,2
last me,-0.0987,Normal,0,3
you last,-0.0993,Normal,0,3
next to,-0.0993,Normal,0,2
should we,-0.0998,Normal,0,3
is no,-0.0999,Normal,2,2
this would,-0.1008,Normal,0,3
while your,-0.101,Normal,2,1
from our,-0.1015,Normal,6,6
us have,-0.1015,Normal,0,2
to are,-0.1017,Normal,0,2
until if,-0.1019,Normal,0,2
through it,-0.102,Normal,0,2
up and,-0.1021,Normal,2,7
the around,-0.1024,Normal,1,1
side,-0.1034,Normal,1,3
to out,-0.1037,Normal,5,5
that to,-0.1038,Normal,1,3
might to,-0.1039,Normal,0,2
well and,-0.1039,Normal,0,2
name out,-0.1039,Normal,1,3
on for,-0.1039,Normal,1,4
and us,-0.1043,Normal,14,5
name of,-0.105,Normal,3,2
from this,-0.1052,Normal,0,3
are any,-0.1054,Normal,0,3
across that,-0.106,Normal,0,2
how to,-0.1062,Normal,0,3
that with,-0.1067,Normal,3,3
something to,-0.1072,Normal,1,3
me call,-0.1078,Normal,0,2
and about,-0.1082,Normal,0,3
during our,-0.1084,Normal,1,3
about could,-0.1092,Normal,0,3
you should,-0.1093,Normal,1,3
that for,-0.1095,Normal,0,2
our are,-0.1096,Normal,10,4
due would,-0.1104,Normal,0,2
out about,-0.1107,Normal,0,2
me when,-0.1108,Normal,0,3
your can,-0.1108,Normal,4,4
on can,-0.1111,Normal,1,2
or this,-0.1115,Normal,0,2
out so,-0.1117,Normal,0,2
how are,-0.1127,Normal,0,2
you any,-0.1129,Normal,1,3
call this,-0.1131,Normal,0,3
give me,-0.1132,Normal,1,3
before we,-0.1132,Normal,3,3
if we,-0.1135,Normal,0,2
all the,-0.1136,Normal,1,2
what for,-0.1141,Normal,0,2
all about,-0.1141,Normal,1,4
your without,-0.1141,Normal,3,1
the last,-0.1142,Normal,0,2
sometime this,-0.1152,Normal,0,2
on call,-0.1155,Normal,0,3
and it,-0.1155,Normal,26,30
by to,-0.1156,Normal,2,2
would it,-0.1158,Normal,0,3
to would,-0.1158,Normal,0,2
name about,-0.1161,Normal,1,5
on all,-0.117,Normal,0,2
it over,-0.1171,Normal,0,3
in it,-0.1176,Normal,3,6
from it,-0.1177,Normal,1,3
bill could,-0.1182,Normal,0,2
with by,-0.1185,Normal,1,2
to if,-0.1185,Normal,1,3
more than,-0.1189,Normal,0,2
it to,-0.1189,Normal,5,3
us for,-0.1195,Normal,2,3
would at,-0.1197,Normal,0,2
to about,-0.1202,Normal,1,4
also if,-0.1202,Normal,0,2
for has,-0.1204,Normal,0,2
been would,-0.1214,Normal,0,2
about that,-0.1217,Normal,0,3
call and,-0.1219,Normal,0,2
to their,-0.122,Normal,5,4
is do,-0.1222,Normal,1,2
is on,-0.1225,Normal,2,8
or to,-0.1225,Normal,7,6
the would,-0.1225,Normal,0,3
some next,-0.1234,Normal,0,2
and any,-0.1237,Normal,14,6
am with,-0.1237,Normal,0,2
at is,-0.124,Normal,0,2
everything is,-0.1242,Normal,0,3
could the,-0.1259,Normal,0,2
we also,-0.1261,Normal,1,3
us could,-0.1266,Normal,1,3
at with,-0.1272,Normal,0,3
it even,-0.1275,Normal,0,2
about how,-0.1275,Normal,0,4
it made,-0.1275,Normal,0,3
in us,-0.1282,Normal,1,3
we the,-0.1282,Normal,5,2
been but,-0.1285,Normal,0,2
at you,-0.1293,Normal,2,4
can in,-0.1297,Normal,1,2
us call,-0.1297,Normal,0,2
to me,-0.1299,Normal,2,5
it or,-0.1305,Normal,0,3
go together,-0.1306,Normal,0,5
our would,-0.1307,Normal,1,3
you out,-0.1312,Normal,0,3
name we,-0.1315,Normal,4,7
from would,-0.1317,Normal,0,3
but to,-0.1317,Normal,0,2
we should,-0.1327,Normal,0,3
and some,-0.133,Normal,0,2
or before,-0.1332,Normal,0,2
found an,-0.1333,Normal,0,3
to how,-0.1334,Normal,1,4
had about,-0.1341,Normal,0,4
anything,-0.1348,Normal,1,4
name am,-0.1369,Normal,12,14
had to,-0.1369,Normal,0,2
is at,-0.1373,Normal,0,5
you always,-0.1375,Normal,0,4
our us,-0.1379,Normal,0,3
own,-0.1393,Normal,1,2
us and,-0.1396,Normal,0,2
someone is,-0.1402,Normal,0,2
please someone,-0.1402,Normal,0,2
bill,-0.1403,Normal,3,6
your if,-0.1406,Normal,1,5
can also,-0.1413,Normal,0,2
and go,-0.1414,Normal,0,2
at on,-0.1422,Normal,1,6
to you,-0.1431,Normal,64,43
had in,-0.1436,Normal,0,2
how is,-0.1437,Normal,0,3
an on,-0.1445,Normal,5,4
our on,-0.146,Normal,21,7
their,-0.1467,Normal,18,9
next and,-0.1468,Normal,1,2
yet,-0.1471,Normal,2,4
at would,-0.1476,Normal,0,3
it back,-0.1478,Normal,0,3
very and,-0.1483,Normal,0,4
on it,-0.1483,Normal,2,5
everything,-0.1485,Normal,2,5
it can,-0.1488,Normal,0,3
with us,-0.1491,Normal,14,7
for this,-0.1494,Normal,5,5
and further,-0.1496,Normal,0,2
has to,-0.1504,Normal,1,1
during your,-0.1505,Normal,0,2
are call,-0.1507,Normal,0,2
it too,-0.1522,Normal,0,5
last to,-0.1524,Normal,0,3
you am,-0.1532,Normal,0,2
the by,-0.1539,Normal,1,3
you describe,-0.1545,Normal,0,3
to them,-0.1553,Normal,0,2
do you,-0.1563,Normal,4,6
the could,-0.1569,Normal,2,3
how it,-0.1576,Normal,2,6
name on,-0.1582,Normal,3,7
and me,-0.1585,Normal,0,2
and they,-0.1599,Normal,0,2
in up,-0.1609,Normal,0,2
the about,-0.161,Normal,0,3
are not,-0.1612,Normal,0,3
your own,-0.1618,Normal,0,2
on is,-0.162,Normal,1,2
name please,-0.1623,Normal,0,2
for can,-0.1625,Normal,0,2
together for,-0.1629,Normal,0,3
were for,-0.1629,Normal,0,4
someone to,-0.1631,Normal,0,3
you someone,-0.1631,Normal,0,3
been and,-0.1634,Normal,4,5
everyone,-0.1634,Normal,1,2
everyone to,-0.1634,Normal,1,2
on from,-0.1638,Normal,0,2
our last,-0.1682,Normal,0,4
it together,-0.1685,Normal,0,4
in would,-0.1685,Normal,1,4
or any,-0.1696,Normal,0,3
our will,-0.1701,Normal,6,5
also have,-0.1716,Normal,0,3
name an,-0.1725,Normal,4,6
how your,-0.1725,Normal,0,4
to up,-0.1727,Normal,7,10
it would,-0.1731,Normal,3,7
that is,-0.1735,Normal,4,6
some of,-0.1739,Normal,0,3
go through,-0.1746,Normal,0,3
might be,-0.1749,Normal,3,9
another,-0.1765,Normal,0,3
the are,-0.1771,Normal,4,5
would be,-0.1775,Normal,9,11
all to,-0.1778,Normal,2,1
could,-0.178,Normal,56,49
they have,-0.1785,Normal,0,3
the on,-0.179,Normal,1,4
more about,-0.1794,Normal,1,7
not in,-0.1795,Normal,0,2
too,-0.1805,Normal,3,9
at if,-0.1817,Normal,0,5
about the,-0.1849,Normal,3,5
are being,-0.1853,Normal,0,2
while,-0.1857,Normal,8,9
see how,-0.1872,Normal,1,5
the has,-0.1883,Normal,4,3
next for,-0.1885,Normal,0,2
and out,-0.1889,Normal,0,3
yourself and,-0.1897,Normal,0,2
back,-0.1904,Normal,3,7
are at,-0.1914,Normal,0,4
any of,-0.1934,Normal,6,2
been on,-0.1937,Normal,0,2
are all,-0.1939,Normal,1,1
this at,-0.1956,Normal,1,6
on there,-0.1959,Normal,0,2
there will,-0.1959,Normal,0,2
it for,-0.1969,Normal,0,4
describe the,-0.1979,Normal,0,3
to one,-0.198,Normal,0,3
over call,-0.1986,Normal,0,5
for if,-0.1989,Normal,0,3
when would,-0.1991,Normal,0,2
it will,-0.1992,Normal,0,4
by it,-0.1997,Normal,0,3
both,-0.2009,Normal,0,4
out together,-0.2009,Normal,0,5
up over,-0.2011,Normal,0,3
we it,-0.2019,Normal,2,5
have not,-0.203,Normal,1,3
you us,-0.2037,Normal,6,15
our next,-0.2039,Normal,0,5
be and,-0.204,Normal,2,4
the and,-0.2072,Normal,31,21
and see,-0.2106,Normal,0,4
for name,-0.2129,Normal,1,4
this if,-0.2144,Normal,0,4
in on,-0.2146,Normal,0,4
to something,-0.215,Normal,0,4
on,-0.2154,Normal,124,110
you,-0.2157,Normal,294,322
on would,-0.216,Normal,0,5
and could,-0.2161,Normal,1,2
about your,-0.2163,Normal,6,16
are through,-0.217,Normal,0,2
go over,-0.218,Normal,0,6
from if,-0.2181,Normal,1,4
the from,-0.2185,Normal,0,6
or would,-0.2191,Normal,0,5
it might,-0.2197,Normal,0,7
me the,-0.2199,Normal,0,3
or us,-0.2199,Normal,0,5
for would,-0.2201,Normal,0,6
it with,-0.2212,Normal,2,6
by if,-0.2235,Normal,0,4
name found,-0.2248,Normal,0,7
we could,-0.2249,Normal,1,5
name across,-0.2253,Normal,0,6
they,-0.228,Normal,0,5
are up,-0.2281,Normal,2,7
can it,-0.2292,Normal,2,8
due for,-0.2296,Normal,0,4
out,-0.2299,Normal,43,36
for are,-0.2314,Normal,0,2
also,-0.2325,Normal,7,10
so can,-0.2346,Normal,0,5
over,-0.2351,Normal,8,18
your bill,-0.236,Normal,1,6
name in,-0.2381,Normal,1,2
will the,-0.2396,Normal,8,5
name up,-0.2411,Normal,0,5
you might,-0.244,Normal,1,10
for any,-0.2448,Normal,0,2
your up,-0.2455,Normal,0,3
describe,-0.248,Normal,0,4
name there,-0.2481,Normal,0,6
your could,-0.2486,Normal,10,13
here if,-0.2493,Normal,0,4
for on,-0.2499,Normal,1,7
are this,-0.252,Normal,0,5
your about,-0.2523,Normal,0,6
the so,-0.2534,Normal,0,4
you were,-0.2579,Normal,0,6
name your,-0.2592,Normal,9,11
of you,-0.2592,Normal,5,8
together this,-0.2597,Normal,0,4
on between,-0.261,Normal,0,3
us this,-0.2619,Normal,1,3
by and,-0.2622,Normal,0,6
us up,-0.2633,Normal,0,6
at am,-0.2644,Normal,0,4
to it,-0.2653,Normal,14,26
when,-0.2692,Normal,2,8
or in,-0.2692,Normal,0,4
you had,-0.2713,Normal,0,7
for us,-0.2727,Normal,6,7
you interest,-0.2738,Normal,0,4
you for,-0.2739,Normal,24,16
you about,-0.2793,Normal,1,9
it and,-0.2816,Normal,0,5
the before,-0.2816,Normal,1,3
from for,-0.282,Normal,0,3
am and,-0.2829,Normal,1,3
from you,-0.2837,Normal,17,37
your us,-0.2841,Normal,1,5
interest in,-0.2843,Normal,3,6
me if,-0.2865,Normal,0,11
at please,-0.2872,Normal,0,4
until,-0.2877,Normal,1,7
this it,-0.2918,Normal,1,6
you it,-0.2928,Normal,5,11
for next,-0.2965,Normal,0,4
the together,-0.2966,Normal,2,5
up on,-0.2977,Normal,1,7
were,-0.2979,Normal,1,7
are now,-0.2991,Normal,4,3
of would,-0.3,Normal,1,4
the next,-0.3004,Normal,12,7
am please,-0.3024,Normal,0,3
between am,-0.303,Normal,0,3
you you,-0.3032,Normal,0,4
us to,-0.307,Normal,6,13
about our,-0.3073,Normal,0,9
up,-0.316,Normal,49,56
someone,-0.3171,Normal,1,8
you would,-0.3214,Normal,9,21
during,-0.3243,Normal,2,6
have your,-0.3291,Normal,6,8
is now,-0.3339,Normal,1,5
you of,-0.3339,Normal,3,6
between,-0.3352,Normal,2,6
am for,-0.3387,Normal,0,5
always,-0.3389,Normal,0,8
still,-0.3395,Normal,1,9
you in,-0.3399,Normal,2,8
from am,-0.3505,Normal,3,10
about it,-0.3529,Normal,0,11
to go,-0.356,Normal,0,11
name you,-0.3577,Normal,6,12
have any,-0.3586,Normal,0,8
should,-0.3589,Normal,4,12
have you,-0.3593,Normal,10,14
could you,-0.3599,Normal,33,37
your so,-0.3656,Normal,9,17
me,-0.3712,Normal,27,49
is due,-0.3869,Normal,0,8
go,-0.3869,Normal,3,17
sometime,-0.3937,Normal,0,7
you your,-0.3989,Normal,19,26
you and,-0.4069,Normal,5,12
please our,-0.4071,Normal,0,5
them,-0.4107,Normal,0,8
your would,-0.4151,Normal,0,12
your on,-0.4186,Normal,2,9
to in,-0.4272,Normal,15,15
so,-0.4294,Normal,28,41
us if,-0.4307,Normal,0,11
me to,-0.435,Normal,2,15
might,-0.4368,Normal,3,19
it out,-0.4446,Normal,0,14
name that,-0.449,Normal,0,15
can,-0.4508,Normal,76,81
call,-0.4528,Normal,11,29
any,-0.4764,Normal,40,31
with name,-0.4835,Normal,0,8
so we,-0.489,Normal,11,28
is you,-0.4948,Normal,6,13
on at,-0.4969,Normal,0,15
can we,-0.5038,Normal,0,7
you be,-0.51,Normal,1,19
you or,-0.5136,Normal,0,13
had,-0.5164,Normal,1,14
any or,-0.5176,Normal,1,13
from we,-0.5191,Normal,39,39
last,-0.5368,Normal,4,18
how,-0.5475,Normal,7,25
and would,-0.5484,Normal,3,18
something,-0.5499,Normal,1,17
at your,-0.55,Normal,2,9
we can,-0.5538,Normal,16,38
name the,-0.5576,Normal,3,17
you the,-0.5667,Normal,11,28
is your,-0.5995,Normal,34,30
to or,-0.6131,Normal,3,19
for at,-0.6322,Normal,2,15
us,-0.6801,Normal,74,81
at,-0.6885,Normal,67,82
on and,-0.6955,Normal,0,15
or,-0.7518,Normal,48,79
name,-0.767,Normal,232,308
name to,-0.7767,Normal,4,24
name from,-0.8072,Normal,100,123
would to,-0.812,Normal,5,34
it,-0.84,Normal,135,143
next,-0.9361,Normal,15,32
about,-0.9451,Normal,19,63
if you,-1.0309,Normal,21,68
together,-1.1391,Normal,10,40
if,-1.2168,Normal,25,79
this,-1.3756,Normal,259,382
would you,-1.4805,Normal,7,78
would,-1.6243,Normal,41,136
is,-1.8567,Normal,286,398
is we,-2.1084,Normal,15,55
is name,-2.7049,Normal,121,298
this is,-2.9306,Normal,175,376
