idx,true,text,length,bow
1849,Normal,agent: hello this is harper valley national bank my name's patricia how can i help you today caller: hi my name is john garcia i need to check my account balance agent: which account would you like to check caller: my savings account agent: [noise] agent: your savings account balance is sixty one dollars is there anything else i can help you with today caller: that'll do it thank you agent: thank ,Fraud,Normal
1850,Normal,caller: [noise] agent: hello this is harper valley national bank my name is mary how can i help you today caller: hi my name is mary davis i lost my credit card can you send me a new one agent: yes i can one second please agent: [noise] agent: which card would you like to replace caller: my credit card agent: credit card agent: okay i have put a replacement for your credit card caller: yes agent: ,Fraud,Normal
1851,Normal,제가 지금 고고문화인류학과에 지 재학을 하고 있는데 지금 어디 과를 나오셨나요? 저는 이제 학교를 컴퓨터 관련된 학교를 나왔어요. 네. 그~ 인터넷 정보 그쪽이거든요. 그래서 어~ 예전 생각이 참 많이 나는데 컴퓨터에 관련된 일을 하진 않지만 현재로는 학창 시절에 그~ 인터넷 정보과라는 그런 과를 감으로써 컴퓨터에 관련된 공부를 3년간 했습니다. 그곳에서 컴퓨터에 관련돼 여러 가지 정보를 습득할 수 있었고 그 속에서 아이티에 대한 이제 전망이 좋잖아요. 그런 부분에 있어서도 뭐 자격증도 취득하고 그러면서 계속 그런 아이티에 관련된 그런 공부를 계속 하면서 제 적성에는 맞다 안 맞다 이렇게 판가름 짓기는 그렇지만 또 그러면서 또 컴퓨터에 관련된 또 것을 군대에서 또 하게 됐어요. 그게 그렇게 연결이 되더라고요,Fraud,Normal
1852,Normal,안녕하세요 처음 뵙겠습니다. 어~ 오늘은 꿈에 대해서 이야기해보고 싶은데요. 선생님은 어떤 꿈을 많은 꿈을 꿔봤지만 그래도 가장 현실적인 꿈을 목표로 삼고 꿈을 꾸게 되었는데 그 계기가 된 것은 얼마 전에 티브이에 출연한 한 음~ 투자회사 대표의 인터뷰를 보고 생각을 해보게 되었습니다. 음~ 그 대표는 나와서 얘기를 여러 가지를 했는데 그중에서 기억에 남았던 게 어~ 사실 이 대표는 뭐 우리나라에서 알아주는 그런 일류 대학교 출신이고 또 해외에서도 성공을 거둔 그런 또 사업가 이기도 합니다. 그런데 이 사람은 쪼끔 이제 보통 사람이랑 다르게 음~ 이~ 돈에 대한 개념이 남들과 쪼금 달랐던 거 같아요. 우리는 돈을 이제 우리가 필요한 것을 사기 위해서 돈을 번 벌고 거기서 더 여유가 생기면 자식이나 또 주변 ,Fraud,Normal
1853,Normal,어~ 혹시 뭐 좋아하시는 스포츠나 아니면 레저 같은 게 있으시면은 얘기해주실 수 있으신가요? 제가 좋아하는 스포츠가 딱히 이렇게 있지는 않지만 유난히 재밌게 보는 건 축구 축구는 봐요. 축구장도 가봤었고 기성용 씨 팬이었기도 하고 제가 잘하진 저도 공을 무서워해서 그냥 보는 것으로 좋아하고요. 레저는 뭐 저희 남편이 낚시를 굉장히 좋아해요. 그래서 낚시도 많이 따라다니기도 하고 그다음에 저도 직접 해보고 그 정도 그 정도 선에만 좋아해요. 그러면 혹시 좋아하시는 뭐 스포츠나 뭐 뭐 좋아하시는 운동선수 뭐 있으신가요? 저는 스포츠를 하는 거는 딱히 좋아하지 않고 보는 걸 좋아해 좋아했던 거 같아요. 어렸을 때부터 농구 저희 때도 한참 농구가 막 마지막 승부 드라마 나오고 하면서 농구가 그때 막 연고대 막 응원,Fraud,Normal
1854,Fraud,hi this is from Amazon customer service we have seen a recent order number amz-0987 of iPhone 11 Pro on your account which is billed on your card attached to your Amazon account the amount charged in 1499 we noticed some suspicious activity on your account so we have put in hold to this transaction please press one now and to report please press two thank you,Fraud,Fraud
1855,Normal,agent: hello this is harper valley national bank my name is james how can i help you today caller: oh hi my name is mary johnson i lost my credit card caller: can you send me a new one agent: i'd be glad to replace that for you so you said your credit card caller: yes agent: i've ordered you a replacement credit card is there anything else i can help you with caller: um no that'll be all agent: th,Fraud,Normal
1856,Normal,혹시 그동안 해보신 알바들 어떤 게 있으 있는지 말씀해 주시겠어요? 저는 유니클로 알바랑 미스터피자 그리고 전시회 알바 해 본 적 있습니다. 어떤 거 해보셨어요? 저는 단기 알바들 주로 많이 했었고 일단은 장기적으로 그렇게 장기적인 건 아니었지만 이제 밥버거가 한창 유행할 때 밥버거 집에서 일 했었고 최근에는 빵집 파리바게트에서 근무를 했었어요. 단기적으로 했던 알바들은 대학생 때 주로 했었는데요. 대학생 때 지역 행사 지역 축제들에 참여를 해서 이제 축제마다 각각 다르게 부스에 맞는 알바들 했었고 그리고 또 색다른 거로는 호텔에서 알발 해본 적도 있었고 그리고 출장뷔페를 알바를 잠깐 이제 해봤던 경험이 있습니다. 서로가 다양한 알바들을 해봤었는데 혹시 알바를 하면서 힘들었던 경험이나 아니면 기억에 남는 일,Fraud,Normal
1857,Normal,요즘 뭐 배우고 계신 거 있나요? 어~ 네. 제가 요즘에 유기농업 기능사 자격증을 따려고 준비하고 있습니다. 어~ 저~ 실기 시험 준비하는 거 있다고 들었는데 잘하고 계세요? 아~ 저도 아~ 요리 기능사를 준비 중이긴 한데요. 아~ 너무 어려워서 어~ 고민 중이에요. 한식 요리라는 게 생각보다 어렵더라고요. 어~ 모양도 예쁘게 내야 되고 색깔도 봐야 되고 또 어~ 알맞게 익었는지 이런 모든 걸 봐야 하는데 제가 손이 막 빠른 편이 아니라서 정해진 시간 안에 그걸 다 그러니까 색과 그~ 알맞게 익었는지 또 모양이 예쁜지 예. 이런 걸 전부 감안한 어~ 요 작품을 그러니까 말하자면 작품이죠. 이런 걸 내기가 쉽지 않아서 예. 준비는 하고 있는데 너무 힘들어요.  씨는 어~ 유기농 관리사 제가 자 잘 모르는 분얀,Fraud,Normal
1858,Normal,caller: [noise] [noise] agent: hello this is harper valley national bank my name is james how can i help you today caller: hi my name is david <unk> caller: [noise] agent: how can i help you today caller: what are the local branch hours agent: the branch hours are nine thirty a m to five p m agent: is there anything else i can help you with caller: [noise] caller: no that would be all for today ca,Fraud,Normal
1859,Normal,agent: hello this is harper valley national bank my name is david how can i help you today caller: hi my name is james wilson i would like to pay a bill agent: okay agent: uh what is the name of the company that you wanted to pay caller: the company is smart electric agent: [noise] agent: and what is the company address caller: the address is eight eight seven main street agent: [noise] agent: [no,Fraud,Normal
1860,Normal,agent: [noise] hello this is harper valley national bank my name is david how can i help you today caller: hi my name is jennifer <unk> i would like to reset my password agent: okay what is your phone number caller: my phone number is zero one six caller: seven eight seven seven five three zero agent: [noise] agent: okay that's zero one six seven eight seven seven five three zero agent: mm hmm cal,Fraud,Normal
1861,Fraud,customer service team here to help you your calls may be recorded for training and quality purposes all of our agents are currently busy please hold and we will answer your call as soon as we can they're busy today thanks for getting connected to cancellation team this is how may me assist you yeah i was calling about my refund and what kind of email did you get sir could you please uh come is the,Fraud,Fraud
1862,Fraud,straight away and you will get arrested shortly hmrc this is officer how may i help you today i'm sorry i've had a call from you all right miss and did you receive any case id case file number no i didn't okay then in order to pull out your file will you help me out with your name yes it's so I can try to pull out your file absolutely it's and can you spell out your last name yeah it's it's it's o,Fraud,Fraud
1863,Fraud,thank you for Account Support how can I help you today um hello um I have a message on my screen that says my computer is blocked for security reasons okay ma'am I understand and could you please tell me exactly what do you see on your screen Mom ma'am can read it to me each and everything,Fraud,Fraud
1864,Normal,agent: hello this is harper valley national bank my name is patricia how can i help you today caller: [noise] caller: hi my name is jennifer jones i would like to pay a bill agent: oh sure i can help you with that what is the company name caller: the company is smart electric caller: it's like electric but without the r agent: oh agent: okay and what is the company address caller: um caller: the a,Fraud,Normal
1865,Fraud,"Participant ID#121 [0:09]		[calling sound] Attacker: 	[0:18] Hello? Victim:		[0:18] Hello?		 Attacker:	[0:19] Hi, my name is Jane and I am with the UCI Office of Information Technologies. Am I speaking to [Censored]? Victim:	[0:28] Yes.  Attacker:	[0:29] Ok, thanks. It looks like your computer is infected by a virus of some kind and it is attempting to infect other computers whenever you connect t",Fraud,Fraud
1866,Normal,agent: [unintelligible] bank my name is patricia how can i help you today caller: hi patricia my name is michael miller uhm i lost my credit card can you send me a new one agent: yeah i can do that for you which card would you like to replace caller: uh my credit card agent: [noise] agent: i've ordered your replacement credit card is there anything else i can help you with caller: nope that's all ,Fraud,Normal
1867,Normal,네. 혹시 꿈꾸는 가족의 어떤 이상형이 있을까요? 지금으로는 꿈꾸는 거는 지금 현재로 꿈꾸는 거는 뭐 대부분 화목한 가정이고 뭐 xxx 싶다라고 하는데 저는 취미를 조금 공유하고 싶은 가족이 조금 바라는 이상 아무래도 직장 생활을 하고 또 직장 생활하는 도중에 자녀분들을 만약에 유치원을 맡기게 되면 뭔가 교류할 수 있는 시간이 조금 많이 없을 거 같아서 주말이든지 아니면 퇴근 후든지 취미만 같다면 조금 더 많이 공유할 수 있는 게 있지 않을까라는 생각을 하고 있습니다. 지금 이제 가족이 있으신데 예전에 바라왔던 그런 가족이 있을 거고 오히려 지금에 대한 가족이 있을 건데 그 차이가 혹시 큰가요? 어~ 저도 결혼을 하기 전에는 뭐 취미를 공유하고 또 소위 사람들이 말하는 행복 만끽할 수 있는 가정을 꾸리기를 ,Fraud,Normal
1868,Normal,caller: [noise] agent: hello this is harper valley national bank my name is john agent: how can i help you today agent: [noise] caller: hi my name is michael davis uh and i'm calling what are your local branch hours agent: the branch hours are nine thirty am to five o'clock p m caller: alright great thank you agent: is there anything else i can help you with caller: uh no there isn't but thank you,Fraud,Normal
1869,Normal,최근에 극장이 많이 개봉을 못해 가지고 영화를 많이 상영을 못하고 있는데 그래도 보신 영화 중에 기 기억에 남으시는 게 있다면 어떤 게 있을까요? 아~ 요즘에 코로나 땜에 영화관을 갈 수가 있잖아요. 그래서 아이들하고 집에서 영화를 봤어요. 그런데 영화 제목은 정직한 후보라고 라미란하고 이성경 씨가 나오는 영환데 너무 재밌더라고요. 액션도 있고 라미란 씨가 나와갖고 막 이렇게 웃긴 대화들도 있고 욕설도 있지만 그래도 아이들하고 보기에 그렇게 나쁘지 않았던 그러 그리고 집에서 가족들이 다 같이 조금 유쾌하게 볼 수 있었던 영화였던 거 같아요. 그래서 저는 그 영화를 지인분들한테 집에서 어디 가지 못하니까 보는 게 어떻겠냐 라고 이야기를 많이 했던 적이 있었답니다. 그리고 또 그밖에 영화는 또 안 보고요. 그냥,Fraud,Normal
1870,Normal,caller: [noise] agent: hello this is harper valley national bank my name is mary how can i help you today caller: hi my name is michael miller i would like to transfer money between my accounts agent: okay agent: what is the transfer amount caller: the amount is eighty eight dollars agent: eighty eight dollars agent: and what is the source account caller: from my checking account to my savings acc,Fraud,Normal
1871,Fraud,"[NAME], this is an important call. Critical benefits. Notice, it's [NAME] calling from the Citizens Center. Records show your benefits account is in final review and may be terminated within hours unless confirmed today. These benefits provide thousands in savings for essential costs, such as food, gas, and home bills. This is not a marketing call. It's your final opportunity to lock in your appro",Fraud,Fraud
1872,Fraud,"中国领事馆提醒您,您有一份重要通知书,尚未领取,查询请按3。 中国领事馆提醒您,您有一份重要通知书,尚未领取,查询请按3。",Normal,Fraud
1873,Normal,아~ 엊그제 어~ 아버님 생신이어가지고 코로나인데도 인제 그~ 대명에 있는 콘도에 가서 하루 쉬고 왔거든요. 근데 너무 좋더라고요. 인제 이~ 아~ 지금 상황이 되게 안 좋은데 인제 푸른 산을 보고 막 이러니까 되게 좋았는데 이 코로나가 끝나고 가고 싶은여행지가 어디가 있는지 저희도 여행계가 되게 많아요. 신랑 쪽에 모임 부부 동반하는 여행계 저 개적으로 또 어울리는 사람들이랑 하는 여행계 여러 개가 있는데 그리고 그 전에도 국내든 국외든 모은 돈을 가지고 1년에 한 번씩은 여행을 갔었거든요. 그래서 늘 그전에는 국내 여행을 위주로 많이 가다가 작년부터 처음 해외여행을 갔거든요. 어~ 캄보디아에 갔었는데 너무 좋았어요. 그래서 내년에는 꼭 일본을 가자 겨울에 온천여행을 가자 그랬는데 갑자기 코로나 사태가 발,Fraud,Normal
1874,Fraud,고속 하는 과정에서 지금 없어 품목중에 전통한식 농협 통장 하나 하고 하나 은행 통장 나가서 술 마시는게 있는가 해서 전화 드렸어요. 그럼 혹시 최근에 지갑이나 신분이 될 만한 것들 분실 도난 당한 2015년도 1월경에 금융권 살고 있지 않습니까? 카드사 개인정보 유출로 그때 없으시고요. 농협 통장 일단 말씀 드렸잖아요. 통장에 지금 날짜가 2015년 1월 9일 날 경기도 광명시 철산동 이게 살 된 걸로 나오거든요. 혹시 조기가 신장이나 지인분들께서 광명시 철산동에네 목소리가 잘 안 들리는 거 그러면 혹시 제가 연락드리면 이유가 아까 저기 농협 하고 하나은행 통장 이따 말씀 드려.  통장에 내려서 지금 김태호한테 판매 또는 양도를 하신 건지 아니면 본인도 개인정보유출을 개인정보유출 당해서 기회를 보신 건지 ,Fraud,Fraud
1875,Normal,너는 좋아하는 계절이나 날씨가 있어? 우선 내가 좋아하는 계절은 음~ 가을 봄 두 개를 좋아하는 거 같아. 우선 가을과 봄을 좋아하는 이유는 그렇게 덥지도 않고 또 그렇게 춥지도 않고 그리고 내가 옷을 입는 데 있어서 나는 그렇게 또 반팔 티나 또 그렇게 보다는 조금 길게 조금 해서 코트 그다음에 슈트 이 이렇게 입는 걸 좋아해. 그리고 내가 여름과 겨울을 싫어하는 이유는 일단 여름은 너무 더운 거 같아. 여름에 또 학교에서 체육 활동을 하다 보면 또 축구 나 이렇게 야외 활동을 하는 경우에 진짜 너무 더워. 땀이 막 진짜 많이 나고 머리가 또 어지럽고 그리고 또 겨울 같은 경우에는 우리 학교가 산에 있어가지고 이게 경사가 조금 많이 지어있어가지고 올라가기가 힘들어. 눈이 눈이 와가지고 땅이 언 경우에는 또,Fraud,Normal
1876,Normal,agent: hello oh agent: hello this is harper valley national bank my name is jennifer how can i help you today caller: hi my name is james johnson i lost my debit card can you send me a new one agent: uh which card would you like to replace caller: my debit card agent: [noise] agent: i've ordered your replacement debit card is there anything else i can help you with caller: no that was gonna be it ,Fraud,Normal
1877,Normal,agent: hello this is harper valley national bank my name is ha~ my name is david agent: how can i help you today caller: [noise] hi my name is james rodriguez what are the local branch hours agent: [noise] [noise] agent: [noise] agent: [noise] agent: [noise] agent: [noise] agent: the branch hours are nine thirty am to five o'clock p m caller: okay thank you agent: [noise] agent: yep agent: is ther,Fraud,Normal
1878,Fraud,"Hi, my name is Jennifer Kelly. You are receiving this call because you and your family are previous guests with the Hilton and Marriott. You are eligible to receive our members only free upgrade for our 4th of July Day special from Hilton Grand Vacation Club. Travel to our all-inclusive award-winning resorts in Cabo, Cancun, Tulum, Puerto Vallarta, and the Dominican Republic, Punta Cana, Panama, C",Fraud,Fraud
1879,Normal,agent: hello this is harper valley national bank my name is john how can i help you today caller: yes hi um i would like to transfer money between two of my accounts agent: what is the transfer amount caller: fifteen dollars agent: what is the source account caller: my checking account agent: and what is the destination account caller: <unk> my savings account agent: fifteen dollars has been trans,Fraud,Normal
1880,Normal,요즘 전복 양식 엄청 많이 하던데 우리가 먹기에는 아직도 비싸이? 전복 생산량이 증가돼서 산지 가격이 많이 떨어졌다고 하는데 정말 피부로를 우리가 사는 소비자 가격은 많이 안 내린 거 같아. 이렇게 피부로 느껴지지 않는 이유 너무 피부로 느껴지지 않 음~ 않는 거 같고 그 생산자들은 가격이 어~ 산지 가격은 크게 떨어졌다고 하는데 어~ 소비자들이 느끼는 그런 감정은 앗 아 느낌은 적은 거 같아. 소비자 가격의 인하에 발목을 잡고 있는 것은 복잡한 유통 구조가 한 몫을 차고 차지하고 있다고 생각하는데 그 점에 대해서 너는 어떻게 생각해? 아 요즘 양식하는 데 많아가지고 산지 가격이 많이 떨어졌을 텐데 소비자들한테 오는 거는 가격이 그다지 내리지 않은 거는 복잡한 유통 구조에 있겠지? 유통 구조를 바꾸면 생산자,Fraud,Normal
1881,Normal,나 요 근래에 왼쪽 어깨가 너무 아파가지고 정형외과를 갔는데 정형외과에서 엠알아이를 찍어야 되겠대. 엠알아이를 찍었더니 나는 내가 여기에 근육이 파열된 지도 몰랐거든. 근데 근육이 파열이 되면서 뼈가 자랐대. 그래서 그~ 이게 팔이 움직일 때마다 이 뼈를 다치니까 그래서 아프다는 거야. 그~ 일단은 주사 요법을 세 가지를 세 번 주사를 맞아보고도 안 되면 수술을 해가지고 그 뼈를 뼈가 조금 자란 뼈를 갖다가 조금 이렇게 깎아야 된다는 소리를 하더라고 너무 무서운 거야. 수술을 한다는 게 그래서 내가 집에 와서 생각을 해보니까 나는 우리 언니가 그렇게 엉양 몸에 좋은 영양제를 먹으라 해도 집에 쌓아놓고 쳐다만 봤거든. 안 먹고 어~ 근데 내가 어깨가 이번에 딱 처음 내가 뼈가 이런 데까지 아파본 적이 없는데 ,Fraud,Normal
1882,Normal,agent: hello this is harper valley national bank my name is david agent: how can i help you today caller: [noise] hi my name is robert brown i would like to schedule an appointment agent: what day would you like for your appointment caller: [noise] friday agent: what time would you like for your appointment caller: four p m agent: your appointment has been scheduled for friday at four p m agent: i,Fraud,Normal
1883,Fraud,김인수.  일정 저희가 추석은 김민석입니다. 뭐 하십니까?  진동으로 하시면 될 거 있으면 좀 보내 주시면 안 돼요.,Normal,Fraud
1884,Normal,씨는 어떤 날씨가 가장 좋나요? 저는 겨울을 가장 좋아합니다.  씨는 어떤 계절 좋아하세요? 아~ 저는 겨울 을 마찬가지로 좋아합니다. 겨울이 왜 좋으세요? 겨울이 좋은 이유는 일단 눈이 와서 기분이 좋고 더운 것보다는 추운 게 좋아 좋은 게 여름에는 더우면은 어~ 옷을 더 벗을 수가 없잖아요. 근데 겨울에는 추우면 옷을 더 껴입으면 되니까 그런 면에서 겨울을 더 좋아합니다.  씨는 이유가 있을까요? 저는 겨울 스포츠를 좋아해서 겨울을 좋아합니다. 겨울 스포츠 어떤 거 좋아하시나요? 저는 스키장 가서 스키 타거나 스노우 보드 타는 걸 좋아하는데 혹시 좋아하시는 계절 스포츠 있으세요? 저는 여름에는 물놀이를 하잖아요. 그런데 전 물을 별로 안 좋아하기 때문에 별로 안 좋아하고요. 겨울에는 스키나 보드를 타잖아,Fraud,Normal
1885,Normal,요즘 카페나 그~ 제과점에 가면은 전보다 케이크 가격이 훨씬 더 높은 걸 발견할 수 있습니다. 이러한 현상에 대해서 어떻게 생각하십니까? 까 우선 저는 카페를 가는 것을 즐기고 좋아하기 때문에 케이크 가격에 대해서는 특별히 크게 생각해본 건 없는 거 같은데 지금 케이크 가격이 오른 이유는 옛날에 비해 여러 가지 장식물들이나 여러 가지 모양들이 많이 새겨졌기 때문이라고 생각을 해요. 근데 그 부분에서 그 장식물이나 모양에 재료비가 들어갔을 수도 있고 이렇게 만들기까지 여러 파티셰 분들의 노력에 대한 금액 그러니까 보상액이 들어갔을 수도 있기 때문에 저는 요즘처럼 이렇게 예쁜 케이크가 나오는 가격에 대해서는 그렇게 비싸지 않다고 생각하는 편인데 요즘 예술이라고 해서 그냥 일반 생크림 케이크 하얀 거를 26000,Fraud,Normal
1886,Normal,agent: hello this is harper valley national bank my name is jennifer how can i help you today agent: [noise] caller: hi my name is michael miller agent: [noise] caller: i lost my credit card caller: can you send me a new one agent: sure agent: hold on just a moment agent: which card would you like to replace again was it credit caller: my credit card agent: okay caller: yeah agent: is there anythi,Fraud,Normal
1887,Normal,엠비티아이 뭐야? 나 이에스에프피. 너는 뭐야? 이엠에프피. 내 성격 장점 뭔데? 장점 생각 좀해 봐야 될 거 같은데 음~ 돈을 잘 쓴다. 그리고 빨리 까먹는다. 그리고 네가 생각하는 너의 장점은 긍정적인 거. 단순하고 빨리 기분 기분 나빴다가 빨리 원상태로 복구돼 가지고 단순하다. 낸가 본인 엠비티아이 마음에 드나? 나는 뭐 마음에 드는 거 같은데. 근데 나는 이에스에프피 중에서도 트레이너 쌤 같이 찐 이에스에프피는 아니고 쪼금 그나마 조금 얌전한 이에스에프피인 거 같아. 혹시 본인이 생각하는 단점은? 성격의 단점은? 게으르다. 행동이 느리다. 여유롭다. 시간 약속 지키기 힘들다. 그런 거. 그냥 이 엠비티아이 이에스에프피 나왔는데 조금 부럽 부럽거나 뭔가 이런 성격이면 좋겠다 하는 엠비티아이의 유형 성격,Fraud,Normal
1888,Fraud,네네 여기 서울중앙지검 첨단범죄수사 수사관입니다 연락 드렸습니다. 지금 통화 가능하십니까 없이 김동철 하시는 분입니까 아니요 수신사 남동구 들어가셨어요? 얼마 전에 제가 더 이상 금고 당신이 현장에서 데려 신한카드 대표 통장 되었고요. 그중에서 신한은행 통장이 현장에서 통장으로 수 없었습니다. 아빠도 교사를 계산을 해 봤는데 확실히 본인만 통장으로 확인이 괜찮다고요. 1월 7일.  경기도 광명시 철산동에서 결제통장 계셨습니까?   어디 있냐고요 저기요 혹시 출발 신분증 면허증 따는 지갑 분실 한 적 있으십니까 있는데요 혹시 다른 데서 개인정보유출확인 잘 보내셨습니까? 옥수수가 도착하는게 아니고 중국의 배 터지게 명 정도가 아니고요. 섞여 있어서 환자조사 중인데 지금 모임 같은 결과를 가야지 조절을 하기 위해,Fraud,Fraud
1889,Normal,agent: [noise] agent: hello this is harper valley national bank my name is mary how can i help you today caller: hi my name is miss robert caller: davis and i will transfer money between accounts from savings account <unk> account agent: [noise] agent: okay agent: uhm how much would you like to transfer caller: one hundred seven dollars agent: [noise] agent: [noise] agent: okay i have transferred ,Fraud,Normal
1890,Normal,언니 있잖아요. 제가 좋아하는 배우가 있거든요. 그게 아실지 모르겠지만 류준열이에요. 저는 류준열을 류준열이 뜨기 전부터 좋아했었거든요. 저 고등학교 때일 거예요 아마. 근데 류준열이 응답하라 1998 나와서 엄청 뜨고 모든 여성분들이 다 그때 막 어남류 막 이러면서 엄청 좋아하게 됐어요. 근데 제가 그 전부터 좋아하게 된 이유는 우선 얼굴이 저의 이상형과 아주 적합해요. 언니가 제 남자친구를 보셨을 보셨지만 저는 약간 그런 상을 좋아한단 말이에요. 류준열 창모 약간 이런 수 약간 그런 상. 그래서 저는 그리고 연기를 너무 잘하고 그 목소리 그 진지한 그 얼굴에 그 진지한 목소리까지 겸비한 배우는 저는 이 세상에 없다 생각해요. 네 언니는 그럼 혹시 저처럼 이렇게 좋아하는 배우나 연예인 있나요? 어. 나는 ,Fraud,Normal
1891,Fraud,"Participant ID#131 [0:08]		[calling sound] Victim:		[0:10] Hello?		 Attacker:	[0:11] Hi, my name is Jane and I am with the UCI Office of Information Technologies. Am I speaking to [Censored]? Victim:	[0:20] Yes.  Attacker:	[0:21] Thanks. We have detected multiple attacks on the OIT servers which seem to originate from IP addresses which you were using at the time. Victim:	[0:30] What?  Attacker:	[",Fraud,Fraud
1892,Normal,지금 당장 선물을 받을 수 있다고 하면 혹시 어떤 종류의 선물을 받고 싶으신가요? 지금 당장 받고 싶은 선물은 크게 없는데요. 그렇게 뭐가 필요한 상황은 아니어서 잘 모르겠지만 어쨌든 조금 지금 당장 어떤 사람한테 받을 수 있는 선물이라면 감정적인 위로 같은 게 필요한 거 같아요. 어떤 이런 사회에서 지친 부분도 있고 마음적으로 약간 뭔가 기댈 곳이 필요한데 그런 곳을 찾기가 사실 시간이 지날수록 쉽지가 않은 부분이거든요. 근데 사람한테서 오는 그런 위로라든지 기대라든지 이런 부분들이 만약에 충족이 되어진다면 저는 그런 부분들을 조금 선물을 받고 싶다라는 생각이 드네요. 가장 받았던 선물 중에서 큰 선물이라고 하면 어떤 게 있으세요? 큰 선물은 크게 없는 거 같기는 한데 제가 그~ 친구들 무리 같은 게 있잖,Fraud,Normal
1893,Normal,agent: hello this is harper valley national bank my name is jennifer how can i help you today caller: hi jennifer my name is robert brown caller: um i need to check my account balance agent: which account would you like to check caller: my savings account agent: your savings account balance is one hundred and nine dollars agent: is there anything else i can help you with caller: thank you very muc,Fraud,Normal
1894,Fraud,"김명철이라고 76년생, 올해로 42세 되는 남성분인데요. 한 번도 못 들어 본 사람이에요? 아니면 한번 정도는 들어봤었던 이름인 거 같아요?한 번도 못 들어본 사람이 맞아요?이제 김명철이가 저희가 체포를 했는데…(생략) 여쭤본 거고 저 왜냐하면 저희가 최근에 김명철을 주범으로 하는 금융범죄 사기단들을 7명 검거를 했어요.이 사람들 검거를 하고 사무실 압수수색을 좀 진행을 했는데 사무실에서 압수된 것들이 약 900여 개가 넘는 대포통장들하고 복제된 신용카드, 보안카드, 그 다음에 위조된 신분증 이런 거 수천장 같이 압수를 했고 지금 압수된 물품들 분류하는 과정에서 XXX씨 명의로 된 우리은행과 하나은행 은행 계좌를 두 점 저희가 발견을 했고요.이 두 개의 계좌 저희가 출처를 확인을 하니까 김명철이 진술에 의하",Fraud,Fraud
1895,Fraud,Wood Student Support Center. I am following up in regards to your outstanding federal student loan balance. We have been trying to reach you because you are eligible for the Federal Student Loan Forgiveness Program due to new changes made in 2022. It's imperative that we speak to you as soon as possible since the student loan payment delay is about to come to an end. You can reach us directly to d,Fraud,Fraud
1896,Normal,나는 얼마 전에 이가 엄마 나 아르바이트를 조금 해야 되겠어요 그런 말을 하는 거야. 그래서 무슨 아르바이트를 하려고 근데 나는 아르바이트에도 수준이 있다라고 생각을 한다 근데 엄마가 하는 아르바이트는 어느 정도 공부가 뭐 엄청 또 상위권은 아니었지만 어느 정도 공부를 해서 내가 아이들을 가르키는 아르바이트를 했어. 그러면 거기에 대한 아르바이트 비용을 받은 거야. 그런데 어떤 친구는 주유소에서 아르바이트하고 편의점에서 아르바이트를 했어. 근데 엄마도 안 한 건 아니야. 고3 때 끝나고 나서 내가 인제 사실은 친구랑 같이 붕어빵을 구웠어. 근데 세상모르고 나도 막 음악 틀어놓고 막 나 이 리어카 끌고 그거 사가지고 막 구워서 너무 신났지. 근데 딱 첫날 나가는 순간에 인생은 그때부터였어. 뭐였냐면 그 주변에,Fraud,Normal
1897,Normal,학교 가 보니까 어땠어? 학교가 일단 너무 넓고 그~ 학교에서 드라마 촬영을 하는 거야. 그래가지고 이번에 갔을 때 혜리 알지? 연예인 혜리도 보고 그랬어. 도서관도 가봤어? 학교 도서관 들어갈 때 그~ 먼저 핸드폰으로 애플로 사전예약을 하고서 15분 안에 그~ 찍고 들어가야 하 하더라고. 그래서 예약도 하고 거기서 발열 체크하고 가서 자습도 하고 그랬는데 1층은 그냥 공부만 할 수 있고 2층은 노트북까지 사용해서 그렇게 충전할 수 있는 시스템도 있더라고. 몇 층까지 있는데? 총 별관 2층 본관 2층 이렇게 있는데 별관은 이렇게 열람할 수 있는 곳이 있고 본관에는 뭐 더 다양한 공간들이 있는데 아직은 코로나라서 개방은 하지 않았어. 누나는 학교 어때? 나는 이제 코로나라가지고 학교를 못 간지가 벌써몇 개월이,Fraud,Normal
1898,Fraud,"Participant ID#196 Victim:		[0:02] Hello? 	 Attacker:	[0:03] Hi, I’m Jane from the UCI Registrar’s Office and I have a couple of questions about your course registration. Am I speaking to [Censored]? Victim:	[0:12] Yes.  Attacker:	[0:12] Okay, thanks. So, we believe that our registration system has been hacked so we need to verify your course registration. You are currently registered for ICS 155 ",Fraud,Fraud
1899,Normal,caller: [noise] agent: [noise] hello this is harper valley national bank my name is linda how can i help you today agent: [noise] caller: hi this is patricia johns and i lost my credit card can you send me a new one agent: [noise] caller: in the mail agent: which car~ which card would you like to replace caller: my credit card agent: [noise] agent: credit card i've ordered you a replacement credit,Fraud,Normal
1900,Fraud,"Hello, this is an automated alert from Bank of America. A purchase was declined for $328.99 at GameStop.com. Press 5 if you recognize this purchase. If you do not recognize this purchase, call our fraud department immediately at 1-888-778-1868. To repeat this message, please press 1.",Fraud,Fraud
1901,Fraud,"Hi, this is Daniel from Amazon customer service. We have noticed some suspicious activity on your Amazon account of $149.90 on your card attached to your Amazon account. Press 1 to cancel and press 2 to talk with our customer representative. Thank you.",Normal,Fraud
