idx,true,length,bow,llm_only,singh,webrag
482,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
483,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
484,Normal,Normal,Normal,Normal,Normal,Normal
485,Normal,Normal,Normal,Fraud,Fraud,Fraud
486,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
487,Fraud,Normal,Fraud,Fraud,Fraud,Normal
488,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
489,Normal,Normal,Normal,Normal,Fraud,Normal
490,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
491,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
492,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
493,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
494,Normal,Normal,Normal,Fraud,Normal,Normal
495,Normal,Normal,Normal,Normal,Normal,Normal
496,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
497,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
498,Normal,Normal,Normal,Fraud,Normal,Normal
499,Normal,Normal,Normal,Normal,Normal,Normal
500,Normal,Normal,Normal,Normal,Normal,Normal
501,Normal,Normal,Normal,Normal,Normal,Normal
502,Normal,Normal,Normal,Normal,Normal,Fraud
503,Normal,Normal,Normal,Normal,Normal,Normal
504,Normal,Normal,Normal,Normal,Fraud,Normal
505,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
506,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
507,Normal,Normal,Normal,Fraud,Fraud,Normal
508,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
509,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
510,Normal,Normal,Normal,Normal,Normal,Normal
511,Normal,Normal,Normal,Normal,Normal,Normal
512,Normal,Fraud,Normal,Fraud,Normal,Normal
513,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
514,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
515,Normal,Normal,Normal,Normal,Fraud,Normal
516,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
517,Normal,Normal,Normal,Normal,Normal,Normal
518,Normal,Fraud,Normal,Normal,Normal,Normal
519,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
520,Normal,Normal,Normal,Normal,Normal,Normal
521,Normal,Normal,Normal,Normal,Normal,Normal
522,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
523,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
524,Normal,Normal,Normal,Normal,Normal,Normal
525,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
526,Normal,Normal,Normal,Normal,Normal,Normal
527,Normal,Normal,Normal,Fraud,Fraud,Normal
528,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
529,Normal,Normal,Normal,Fraud,Fraud,Normal
530,Normal,Normal,Normal,Normal,Normal,Normal
531,Normal,Normal,Normal,Normal,Normal,Normal
532,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
533,Fraud,Normal,Fraud,Fraud,Normal,Fraud
534,Normal,Normal,Normal,Normal,Normal,Normal
535,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
536,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
537,Normal,Normal,Normal,Normal,Normal,Normal
538,Normal,Normal,Normal,Normal,Normal,Normal
539,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
540,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
541,Normal,Normal,Normal,Normal,Fraud,Normal
542,Normal,Normal,Normal,Normal,Normal,Normal
543,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
544,Normal,Normal,Normal,Fraud,Normal,Normal
545,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
546,Normal,Normal,Normal,Normal,Normal,Normal
547,Normal,Normal,Normal,Fraud,Fraud,Normal
548,Normal,Normal,Normal,Normal,Fraud,Normal
549,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
550,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
551,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
552,Normal,Normal,Normal,Normal,Normal,Normal
553,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
554,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
555,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
556,Normal,Normal,Normal,Normal,Normal,Normal
557,Normal,Normal,Normal,Normal,Normal,Normal
558,Normal,Normal,Normal,Normal,Normal,Normal
559,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
560,Normal,Normal,Normal,Fraud,Normal,Normal
561,Normal,Normal,Normal,Normal,Normal,Normal
562,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
563,Fraud,Normal,Fraud,Fraud,Normal,Fraud
564,Normal,Normal,Normal,Normal,Normal,Normal
565,Normal,Normal,Normal,Normal,Normal,Normal
566,Fraud,Normal,Fraud,Fraud,Normal,Fraud
567,Normal,Normal,Normal,Fraud,Fraud,Normal
568,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
569,Normal,Normal,Normal,Fraud,Normal,Fraud
570,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
571,Normal,Normal,Normal,Normal,Normal,Normal
572,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
573,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
574,Normal,Normal,Normal,Normal,Normal,Normal
575,Normal,Normal,Normal,Normal,Normal,Normal
576,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
577,Normal,Normal,Normal,Normal,Normal,Normal
578,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
579,Normal,Normal,Normal,Normal,Normal,Normal
580,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
581,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
582,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
583,Normal,Fraud,Normal,Fraud,Normal,Normal
584,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
585,Normal,Normal,Normal,Normal,Fraud,Normal
586,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
587,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
588,Normal,Normal,Normal,Normal,Normal,Normal
589,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
590,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
591,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
592,Normal,Normal,Normal,Fraud,Normal,Normal
593,Normal,Normal,Normal,Normal,Normal,Normal
594,Normal,Normal,Normal,Normal,Normal,Normal
595,Normal,Normal,Normal,Normal,Fraud,Normal
596,Normal,Normal,Normal,Normal,Normal,Fraud
597,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
598,Fraud,Normal,Fraud,Fraud,Normal,Normal
599,Normal,Normal,Normal,Normal,Normal,Normal
600,Normal,Normal,Normal,Normal,Normal,Normal
601,Normal,Normal,Normal,Normal,Normal,Normal
602,Normal,Normal,Normal,Normal,Normal,Normal
603,Normal,Normal,Normal,Normal,Normal,Normal
604,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
605,Normal,Normal,Normal,Normal,Normal,Normal
606,Normal,Normal,Normal,Normal,Normal,Normal
607,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
608,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
609,Normal,Normal,Normal,Normal,Normal,Normal
610,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
611,Normal,Normal,Normal,Fraud,Normal,Normal
612,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
613,Normal,Normal,Normal,Normal,Fraud,Normal
614,Normal,Normal,Normal,Normal,Normal,Normal
615,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
616,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
617,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
618,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
619,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
620,Normal,Normal,Normal,Normal,Normal,Normal
621,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
622,Normal,Normal,Normal,Normal,Fraud,Normal
623,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
624,Normal,Normal,Normal,Normal,Normal,Normal
625,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
626,Normal,Normal,Normal,Normal,Normal,Normal
627,Normal,Normal,Normal,Normal,Normal,Normal
628,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
629,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
630,Normal,Normal,Normal,Normal,Normal,Normal
631,Normal,Normal,Normal,Fraud,Normal,Normal
632,Normal,Normal,Normal,Normal,Normal,Normal
633,Normal,Normal,Normal,Normal,Normal,Normal
634,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
635,Fraud,Fraud,Fraud,Fraud,Normal,Normal
636,Normal,Normal,Normal,Fraud,Fraud,Normal
637,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
638,Normal,Normal,Normal,Normal,Normal,Normal
639,Normal,Normal,Normal,Normal,Normal,Normal
640,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
641,Normal,Normal,Normal,Normal,Normal,Normal
642,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
643,Normal,Normal,Normal,Normal,Normal,Normal
644,Normal,Normal,Normal,Normal,Normal,Normal
645,Normal,Normal,Normal,Normal,Fraud,Normal
646,Normal,Normal,Normal,Normal,Normal,Normal
647,Normal,Normal,Normal,Normal,Normal,Normal
648,Normal,Normal,Normal,Normal,Normal,Normal
649,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
650,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
651,Normal,Normal,Normal,Normal,Normal,Normal
652,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
653,Normal,Normal,Normal,Normal,Normal,Normal
654,Normal,Normal,Normal,Normal,Normal,Normal
655,Normal,Normal,Normal,Normal,Normal,Normal
656,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
657,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
658,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
659,Normal,Normal,Normal,Normal,Normal,Normal
660,Normal,Normal,Normal,Normal,Normal,Normal
661,Normal,Normal,Normal,Normal,Fraud,Normal
662,Normal,Normal,Normal,Normal,Normal,Normal
663,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
664,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
665,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
666,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
667,Normal,Normal,Normal,Fraud,Fraud,Fraud
668,Normal,Normal,Normal,Normal,Normal,Normal
669,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
670,Normal,Normal,Normal,Normal,Normal,Normal
671,Normal,Normal,Normal,Normal,Normal,Normal
672,Normal,Normal,Normal,Fraud,Normal,Normal
673,Normal,Normal,Normal,Normal,Normal,Normal
674,Normal,Normal,Normal,Normal,Normal,Normal
675,Normal,Normal,Normal,Normal,Normal,Fraud
676,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
677,Normal,Normal,Normal,Normal,Normal,Normal
678,Normal,Normal,Normal,Fraud,Normal,Normal
679,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
680,Normal,Normal,Normal,Fraud,Normal,Normal
681,Fraud,Fraud,Fraud,Fraud,Fraud,Normal
682,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
683,Normal,Normal,Normal,Normal,Normal,Normal
684,Normal,Normal,Normal,Normal,Normal,Normal
685,Normal,Normal,Normal,Normal,Normal,Normal
686,Normal,Normal,Normal,Normal,Normal,Normal
687,Normal,Normal,Normal,Normal,Normal,Normal
688,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
689,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
690,Normal,Normal,Normal,Normal,Normal,Normal
691,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
692,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
693,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
694,Normal,Normal,Normal,Normal,Normal,Normal
695,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
696,Normal,Normal,Normal,Normal,Normal,Normal
697,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
698,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
699,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
700,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
701,Normal,Normal,Normal,Normal,Normal,Normal
702,Normal,Normal,Normal,Normal,Fraud,Normal
703,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
704,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
705,Normal,Normal,Normal,Normal,Normal,Normal
706,Fraud,Normal,Fraud,Fraud,Normal,Fraud
707,Normal,Fraud,Normal,Normal,Normal,Normal
708,Normal,Normal,Normal,Normal,Normal,Normal
709,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
710,Normal,Normal,Normal,Normal,Normal,Normal
711,Normal,Normal,Normal,Normal,Normal,Normal
712,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
713,Normal,Normal,Normal,Normal,Normal,Normal
714,Normal,Normal,Normal,Normal,Normal,Normal
715,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
716,Normal,Normal,Normal,Normal,Normal,Normal
717,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
718,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
719,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
720,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
721,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
722,Normal,Normal,Normal,Normal,Normal,Normal
723,Normal,Normal,Normal,Normal,Normal,Normal
724,Normal,Normal,Normal,Normal,Normal,Normal
725,Normal,Normal,Normal,Fraud,Normal,Normal
726,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
727,Normal,Normal,Normal,Fraud,Normal,Fraud
728,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
729,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
730,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
731,Normal,Normal,Normal,Normal,Normal,Normal
732,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
733,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
734,Normal,Normal,Normal,Normal,Normal,Normal
735,Fraud,Normal,Fraud,Fraud,Normal,Normal
736,Normal,Normal,Normal,Normal,Normal,Normal
737,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
738,Normal,Normal,Normal,Normal,Normal,Normal
739,Normal,Normal,Normal,Normal,Normal,Normal
740,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
741,Normal,Normal,Normal,Normal,Normal,Normal
742,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
743,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
744,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
745,Normal,Normal,Normal,Normal,Normal,Normal
746,Normal,Normal,Normal,Fraud,Fraud,Normal
747,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
748,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
749,Normal,Normal,Normal,Normal,Normal,Normal
750,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
751,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
752,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
753,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
754,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
755,Normal,Fraud,Normal,Normal,Fraud,Normal
756,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
757,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
758,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
759,Normal,Normal,Normal,Fraud,Fraud,Normal
760,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
761,Normal,Normal,Normal,Fraud,Fraud,Fraud
762,Normal,Normal,Normal,Normal,Normal,Normal
763,Fraud,Fraud,Fraud,Fraud,Fraud,Normal
764,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
765,Fraud,Fraud,Fraud,Fraud,Normal,Normal
766,Normal,Normal,Normal,Normal,Normal,Normal
767,Normal,Normal,Normal,Normal,Normal,Normal
768,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
769,Normal,Normal,Normal,Normal,Normal,Normal
770,Normal,Normal,Normal,Normal,Normal,Normal
771,Normal,Normal,Normal,Normal,Normal,Normal
772,Normal,Normal,Normal,Normal,Normal,Normal
773,Normal,Normal,Normal,Normal,Normal,Normal
774,Fraud,Normal,Fraud,Fraud,Fraud,Normal
775,Normal,Normal,Normal,Normal,Normal,Normal
776,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
777,Normal,Normal,Normal,Normal,Normal,Normal
778,Normal,Normal,Normal,Normal,Normal,Normal
779,Fraud,Normal,Fraud,Fraud,Normal,Fraud
780,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
781,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
782,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
783,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
784,Normal,Normal,Normal,Normal,Normal,Normal
785,Normal,Normal,Normal,Normal,Normal,Normal
786,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
787,Normal,Normal,Normal,Normal,Normal,Normal
788,Normal,Normal,Normal,Fraud,Fraud,Normal
789,Normal,Normal,Normal,Normal,Normal,Normal
790,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
791,Normal,Normal,Normal,Normal,Normal,Normal
792,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
793,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
794,Fraud,Normal,Fraud,Fraud,Normal,Fraud
795,Fraud,Fraud,Fraud,Fraud,Normal,Normal
796,Normal,Normal,Normal,Normal,Normal,Normal
797,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
798,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
799,Normal,Normal,Normal,Normal,Normal,Normal
