idx,true,length,bow,singh,webrag
571,Normal,Normal,Normal,Normal,Normal
572,Fraud,Fraud,Fraud,Normal,Fraud
573,Fraud,Normal,Fraud,Fraud,Fraud
574,Fraud,Fraud,Fraud,Fraud,Fraud
575,Fraud,Fraud,Fraud,Fraud,Fraud
576,Fraud,Fraud,Fraud,Fraud,Fraud
577,Normal,Normal,Normal,Normal,Normal
578,Fraud,Fraud,Fraud,Fraud,Fraud
579,Normal,Normal,Normal,Normal,Fraud
580,Fraud,Fraud,Fraud,Fraud,Fraud
581,Fraud,Normal,Fraud,Fraud,Fraud
582,Normal,Normal,Normal,Normal,Normal
583,Normal,Normal,Normal,Normal,Normal
584,Fraud,Normal,Fraud,Fraud,Fraud
585,Fraud,Normal,Fraud,Fraud,Fraud
586,Normal,Normal,Normal,Normal,Normal
587,Normal,Normal,Normal,Normal,Normal
588,Normal,Normal,Normal,Normal,Normal
589,Fraud,Fraud,Fraud,Fraud,Fraud
590,Fraud,Fraud,Fraud,Normal,Normal
591,Normal,Normal,Normal,Normal,Normal
592,Fraud,Normal,Fraud,Fraud,Fraud
593,Normal,Normal,Normal,Fraud,Fraud
594,Normal,Normal,Normal,Normal,Normal
595,Fraud,Normal,Fraud,Fraud,Fraud
596,Normal,Normal,Normal,Normal,Normal
597,Fraud,Fraud,Fraud,Fraud,Fraud
598,Normal,Normal,Normal,Normal,Normal
599,Normal,Normal,Normal,Normal,Normal
600,Normal,Normal,Normal,Normal,Normal
601,Normal,Normal,Normal,Normal,Normal
602,Normal,Normal,Normal,Normal,Normal
603,Normal,Normal,Normal,Fraud,Normal
604,Fraud,Fraud,Fraud,Fraud,Normal
605,Fraud,Fraud,Fraud,Fraud,Fraud
606,Normal,Normal,Normal,Normal,Normal
607,Fraud,Fraud,Fraud,Fraud,Fraud
608,Normal,Normal,Normal,Normal,Normal
609,Normal,Normal,Normal,Fraud,Fraud
610,Fraud,Normal,Fraud,Fraud,Fraud
611,Fraud,Normal,Fraud,Fraud,Fraud
612,Fraud,Fraud,Fraud,Fraud,Fraud
613,Normal,Normal,Normal,Normal,Normal
614,Normal,Normal,Normal,Normal,Normal
615,Normal,Normal,Normal,Normal,Normal
616,Fraud,Normal,Fraud,Fraud,Fraud
617,Fraud,Fraud,Fraud,Fraud,Fraud
618,Fraud,Normal,Fraud,Fraud,Fraud
619,Fraud,Normal,Fraud,Fraud,Fraud
620,Normal,Normal,Normal,Normal,Normal
621,Normal,Normal,Normal,Normal,Normal
622,Fraud,Fraud,Fraud,Fraud,Fraud
623,Normal,Normal,Normal,Normal,Normal
624,Normal,Normal,Normal,Normal,Normal
625,Normal,Normal,Normal,Normal,Normal
626,Normal,Normal,Normal,Normal,Normal
627,Normal,Normal,Normal,Normal,Normal
628,Normal,Normal,Normal,Normal,Normal
629,Fraud,Fraud,Fraud,Fraud,Fraud
630,Normal,Normal,Normal,Normal,Normal
631,Normal,Normal,Normal,Normal,Normal
632,Fraud,Fraud,Fraud,Fraud,Fraud
633,Normal,Normal,Normal,Normal,Normal
634,Fraud,Fraud,Fraud,Fraud,Normal
635,Fraud,Fraud,Fraud,Fraud,Fraud
636,Normal,Normal,Normal,Normal,Normal
637,Normal,Normal,Normal,Normal,Normal
638,Normal,Normal,Normal,Fraud,Normal
639,Fraud,Fraud,Fraud,Normal,Fraud
640,Fraud,Fraud,Fraud,Fraud,Fraud
641,Normal,Normal,Normal,Normal,Normal
642,Fraud,Fraud,Fraud,Fraud,Fraud
643,Fraud,Fraud,Fraud,Fraud,Fraud
644,Fraud,Fraud,Fraud,Fraud,Fraud
645,Normal,Normal,Normal,Fraud,Normal
646,Fraud,Fraud,Fraud,Fraud,Fraud
647,Normal,Normal,Normal,Normal,Normal
648,Fraud,Fraud,Fraud,Normal,Fraud
649,Fraud,Fraud,Fraud,Fraud,Fraud
650,Fraud,Fraud,Fraud,Fraud,Fraud
651,Fraud,Fraud,Fraud,Fraud,Fraud
652,Normal,Normal,Normal,Normal,Normal
653,Fraud,Fraud,Fraud,Normal,Fraud
654,Fraud,Normal,Fraud,Fraud,Fraud
655,Normal,Normal,Normal,Fraud,Normal
656,Fraud,Normal,Fraud,Normal,Fraud
657,Normal,Normal,Normal,Normal,Normal
658,Normal,Normal,Normal,Normal,Normal
659,Fraud,Fraud,Fraud,Fraud,Fraud
660,Normal,Normal,Normal,Normal,Fraud
661,Normal,Normal,Normal,Normal,Normal
662,Fraud,Fraud,Fraud,Fraud,Fraud
663,Fraud,Fraud,Fraud,Fraud,Fraud
664,Fraud,Normal,Fraud,Fraud,Fraud
665,Fraud,Normal,Fraud,Fraud,Fraud
666,Fraud,Fraud,Fraud,Fraud,Fraud
667,Fraud,Fraud,Fraud,Fraud,Fraud
668,Fraud,Fraud,Fraud,Fraud,Fraud
669,Normal,Normal,Normal,Normal,Normal
670,Normal,Normal,Normal,Normal,Normal
671,Normal,Normal,Normal,Normal,Normal
672,Normal,Normal,Normal,Normal,Normal
673,Fraud,Fraud,Fraud,Normal,Fraud
674,Normal,Normal,Normal,Normal,Normal
675,Fraud,Fraud,Fraud,Fraud,Fraud
676,Fraud,Fraud,Fraud,Fraud,Fraud
677,Fraud,Normal,Fraud,Fraud,Fraud
678,Normal,Normal,Normal,Normal,Normal
679,Fraud,Normal,Fraud,Fraud,Fraud
680,Fraud,Fraud,Fraud,Fraud,Fraud
681,Fraud,Normal,Fraud,Normal,Normal
682,Normal,Normal,Normal,Normal,Normal
683,Fraud,Fraud,Fraud,Fraud,Fraud
684,Normal,Normal,Normal,Normal,Normal
685,Normal,Normal,Normal,Normal,Normal
686,Fraud,Normal,Fraud,Fraud,Fraud
687,Normal,Normal,Normal,Normal,Normal
688,Fraud,Fraud,Fraud,Fraud,Fraud
689,Fraud,Normal,Fraud,Fraud,Fraud
690,Fraud,Fraud,Fraud,Fraud,Fraud
691,Normal,Normal,Normal,Normal,Normal
692,Normal,Normal,Normal,Normal,Normal
693,Fraud,Normal,Fraud,Fraud,Fraud
694,Fraud,Fraud,Fraud,Fraud,Fraud
695,Normal,Normal,Normal,Normal,Normal
696,Fraud,Fraud,Fraud,Fraud,Fraud
697,Fraud,Fraud,Fraud,Fraud,Fraud
698,Fraud,Normal,Fraud,Fraud,Fraud
699,Fraud,Normal,Fraud,Fraud,Fraud
700,Fraud,Normal,Fraud,Fraud,Fraud
701,Normal,Normal,Normal,Normal,Normal
702,Fraud,Fraud,Fraud,Fraud,Fraud
703,Fraud,Fraud,Fraud,Fraud,Fraud
704,Fraud,Fraud,Fraud,Fraud,Fraud
705,Normal,Normal,Normal,Normal,Normal
706,Fraud,Fraud,Fraud,Fraud,Fraud
707,Normal,Normal,Normal,Normal,Normal
708,Fraud,Fraud,Fraud,Fraud,Fraud
709,Fraud,Normal,Fraud,Fraud,Fraud
710,Fraud,Fraud,Fraud,Normal,Normal
711,Normal,Normal,Normal,Normal,Fraud
712,Normal,Normal,Normal,Normal,Normal
713,Fraud,Fraud,Fraud,Fraud,Fraud
714,Normal,Normal,Normal,Normal,Normal
715,Normal,Normal,Normal,Normal,Normal
716,Normal,Normal,Normal,Normal,Normal
717,Fraud,Normal,Fraud,Fraud,Normal
718,Normal,Normal,Normal,Normal,Normal
719,Fraud,Normal,Fraud,Fraud,Fraud
720,Normal,Normal,Normal,Normal,Normal
721,Normal,Normal,Normal,Normal,Normal
722,Fraud,Normal,Fraud,Normal,Fraud
723,Fraud,Fraud,Fraud,Normal,Fraud
724,Fraud,Normal,Fraud,Fraud,Fraud
725,Fraud,Fraud,Fraud,Fraud,Fraud
726,Fraud,Fraud,Fraud,Fraud,Fraud
727,Normal,Normal,Normal,Normal,Normal
728,Normal,Normal,Normal,Normal,Normal
729,Fraud,Fraud,Fraud,Fraud,Fraud
730,Normal,Normal,Normal,Normal,Normal
731,Normal,Normal,Normal,Normal,Normal
732,Fraud,Fraud,Fraud,Fraud,Fraud
733,Fraud,Fraud,Fraud,Fraud,Fraud
734,Fraud,Normal,Fraud,Fraud,Fraud
735,Fraud,Normal,Fraud,Normal,Fraud
736,Fraud,Fraud,Fraud,Normal,Normal
737,Fraud,Normal,Fraud,Fraud,Fraud
738,Fraud,Fraud,Fraud,Fraud,Fraud
739,Normal,Normal,Normal,Normal,Normal
